,Name,About
10,Ilhan Izmirli,   Director of Undergraduate StudiesDirector of Undergraduate Studies 
11,Isuru Dassanayake,
12,Jonathan Auerbach,
13,Nicholas Rios,"   I am currently an Assistant Professor at George Mason University. My main area of interest is design of experiments. I am also interested in response surface methodology, computer experiments, and functional data analysis.  I am very skilled at data analysis, and I love using these skills to find answers to problems. I seek opportunities to apply my knowledge of statistics to the real world, whether through beneficial research or data analysis conducted for an independent firm.I am highly skilled in R and Matlab. I have experience using JMP, SQL, SAS, Java, and C++.I have obtained a PhD in Statistics from Penn State, a Master's of Science in Statistics from Montclair State University, as well as a Bachelor's of Science from University of Delaware (with minors in Mathematics, Economics, and Computer Science).I am currently an Assistant Professor at George Mason University. My main area of interest is design of experiments. I am also interested in response surface methodology, computer experiments, and functional data analysis.  I am very skilled at data analysis, and I love using these skills to find answers to problems. I seek opportunities to apply my knowledge of statistics to the real world, whether through beneficial research or data analysis conducted for an independent firm.I am highly skilled in R and Matlab. I have experience using JMP, SQL, SAS, Java, and C++.I have obtained a PhD in Statistics from Penn State, a Master's of Science in Statistics from Montclair State University, as well as a Bachelor's of Science from University of Delaware (with minors in Mathematics, Economics, and Computer Science). FeaturedFeatured     DocumentDocument  Contributions to Mixture ExperimentsContributions to Mixture Experiments This is the presentation I used during my comprehensive exam. It details my plans for thesis research on the topic of Order-of-Addition (OofA) Mixture Experiments. We try to design experiments for situations where a response depends on both the proportions of mixture components and their addition order.This is the presentation I used during my comprehensive exam. It details my plans for thesis research on the topic of Order-of-Addition (OofA) Mixture Experiments. We try to design experiments for situations where a response depends on both the proportions of mixture components and their addition order.DocumentDocument  JSM 2017 Presentation - Prediction Intervals for Functional DataJSM 2017 Presentation - Prediction Intervals for Functional Data I presented this research (related to my master's thesis) at JSM 2017 Baltimore, MD.I presented this research (related to my master's thesis) at JSM 2017 Baltimore, MD.DocumentDocument  Cost-Benefit Analysis of a New Screening Method for Cervical CancerCost-Benefit Analysis of a New Screening Method for Cervical Cancer This is the presentation of the research that I completed over the summer of 2013 on the cost-effectiveness of semi-automated Pap Smears.This is the presentation of the research that I completed over the summer of 2013 on the cost-effectiveness of semi-automated Pap Smears.    "
14,Niloofar Ramezani,"   I hold a PhD and a master's degree in applied statistics (and research methods), as well as a bachelor's degree in statistics (minor in mathematics). I am interested in conducting statistical and interdisciplinary research and teaching courses in statistics, research methods, and data analytics. I have over a decade of experience as a senior statistician, consultant, and biostatistician, working with multiple state agencies. I currently serve as co-investigator and co-PI on multiple projects, funded by NIH and other grant agencies, focusing on developing and applying statistical methodology, and machine learning techniques, to improve quality of life, mainly among vulnerable populations. My recent applied studies focus on mental health, justice and policy, and different areas of biomedicine. My main areas of methodological interest are power analysis, longitudinal and correlated studies, joint models, survival and recurrent event analysis, and their application in health, social, and educational data. I am a two-time recipient of SAS Ambassador Award for innovative use of statistical analysis software, as well as junior faculty SAS award, and have earned over two dozen competitive academic awards through SAS, APHA, ASA, and others, for my research in statistical modeling including developing two new power estimation techniques for longitudinal data. I am passionate in handling missing data, efficiently modeling correlated and multilevel data, and extending generalized estimating equations to capture higher response variation. Such methods are highly applicable in biomedical, social, health, engineering, business, education, and econometric fields. I believe in giving back to the community and have volunteered with nonprofit organizations for multiple years writing grants, evaluating intervention programs, and designing studies and look forward to more volunteer activities.I have over ten years of experience teaching undergraduate and graduate courses in statistics and data analytics, designing courses, and developing curriculum for in-person, hybrid, and fully online courses. My teaching philosophy is to impart my passion for statistics on my students to enable them to solve real-world problems using statistics. I also am looking forward to collaborate with other researchers and educators to further my research.I hold a PhD and a master's degree in applied statistics (and research methods), as well as a bachelor's degree in statistics (minor in mathematics). I am interested in conducting statistical and interdisciplinary research and teaching courses in statistics, research methods, and data analytics. I have over a decade of experience as a senior statistician, consultant, and biostatistician, working with multiple state agencies. I currently serve as co-investigator and co-PI on multiple projects, funded by NIH and other grant agencies, focusing on developing and applying statistical methodology, and machine learning techniques, to improve quality of life, mainly among vulnerable populations. My recent applied studies focus on mental health, justice and policy, and different areas of biomedicine. My main areas of methodological interest are power analysis, longitudinal and correlated studies, joint models, survival and recurrent event analysis, and their application in health, social, and educational data. I am a two-time recipient of SAS Ambassador Award for innovative use of statistical analysis software, as well as junior faculty SAS award, and have earned over two dozen competitive academic awards through SAS, APHA, ASA, and others, for my research in statistical modeling including developing two new power estimation techniques for longitudinal data. I am passionate in handling missing data, efficiently modeling correlated and multilevel data, and extending generalized estimating equations to capture higher response variation. Such methods are highly applicable in biomedical, social, health, engineering, business, education, and econometric fields. I believe in giving back to the community and have volunteered with nonprofit organizations for multiple years writing grants, evaluating intervention programs, and designing studies and look forward to more volunteer activities.I have over ten years of experience teaching undergraduate and graduate courses in statistics and data analytics, designing courses, and developing curriculum for in-person, hybrid, and fully online courses. My teaching philosophy is to impart my passion for statistics on my students to enable them to solve real-world problems using statistics. I also am looking forward to collaborate with other researchers and educators to further my research. "
15,Seiyon Lee,
16,Ahmed Bin Zaman,
17,Antonios Anastasopoulos,"   I am an assistant professor at the Department of Computer Science at George Mason University. Previously, I did a post-doc with NeuLab at the Language Technologies Institute at Carnegie Mellon University. Before that, I completed a Computer Science PhD student at the University of Notre Dame, under Dr. David Chiang. I work on Natural Language Processing, especially Machine Translation and Speech Recognition.I graduated from the Electrical and Computer Engineering school of the National Technical University of Athens, with specializations on Computer Software, Computer Systems and Hardware, Mathematics and Decision and Support Systems. My thesis was titled ""Adaptive Quality Estimation for Machine Translation Output""I am interested in research in Machine Learning, Natural Language Processing, Machine Translation, Artificial Intelligence and Cryptography.My other interests include music, playing the piano and playing tennis and football.I am an assistant professor at the Department of Computer Science at George Mason University. Previously, I did a post-doc with NeuLab at the Language Technologies Institute at Carnegie Mellon University. Before that, I completed a Computer Science PhD student at the University of Notre Dame, under Dr. David Chiang. I work on Natural Language Processing, especially Machine Translation and Speech Recognition.I graduated from the Electrical and Computer Engineering school of the National Technical University of Athens, with specializations on Computer Software, Computer Systems and Hardware, Mathematics and Decision and Support Systems. My thesis was titled ""Adaptive Quality Estimation for Machine Translation Output""I am interested in research in Machine Learning, Natural Language Processing, Machine Translation, Artificial Intelligence and Cryptography.My other interests include music, playing the piano and playing tennis and football. "
18,Bo Han,
19,David Rosenblum,"   I have over 30 years of experience in the field of computing, with positions at leading organizations in academia and industry. I currently work in the USA, having previously held positions in Singapore and the United Kingdom. I have held leadership positions of increasing responsibility, including CTO of the technology startup PreCache, Inc., director of large multidisciplinary research labs and dean of a leading school of computing, as well as volunteer leadership roles for the broader scientific community in computing.In my research, I seek to discover fundamental improvements to the design and validation of large-scale distributed and mobile software systems.  I have made highly cited, award-winning research contributions in automated assertion checking, software testing, event-based computing, ubiquitous computing, probabilistic verification, and applied machine learning.I have over 30 years of experience in the field of computing, with positions at leading organizations in academia and industry. I currently work in the USA, having previously held positions in Singapore and the United Kingdom. I have held leadership positions of increasing responsibility, including CTO of the technology startup PreCache, Inc., director of large multidisciplinary research labs and dean of a leading school of computing, as well as volunteer leadership roles for the broader scientific community in computing.In my research, I seek to discover fundamental improvements to the design and validation of large-scale distributed and mobile software systems.  I have made highly cited, award-winning research contributions in automated assertion checking, software testing, event-based computing, ubiquitous computing, probabilistic verification, and applied machine learning. FeaturedFeatured     LinkLink   The Challenges of Probabilistic Thinking (keynote talk at ICFEM 2017)The Challenges of Probabilistic Thinking (keynote talk at ICFEM 2017)SlideShareSlideSharekeynote talk presented at the 19th International Conference on Formal Engineering Methods (ICFEM 2017), Xi'an, China, 13 November 2017keynote talk presented at the 19th International Conference on Formal Engineering Methods (ICFEM 2017), Xi'an, China, 13 November 2017    "
20,Alexander Brodsky,"   Alex Brodsky is a Professor in the department of Computer Science at George Mason University (GMU). He earned his Ph.D. and prior degrees in Computer Science and/or Mathematics from the Hebrew University of Jerusalem. His current research interests include Decision Support, Guidance and Optimization (DSGO) systems; and DSGO applications, including to service networks, energy, power, sustainability, manufacturing, supply chain and epidemiology.He has published over 150 scholarly refereed journal and conference papers and received five Best Paper Awards and two Best Student Paper Awards. For his research work related to DSGO systems, Alex received an NSF CAREER Award, NSF Research Initiation Award, and awards from ONR, NASA, NIST, and Dominion Virginia Power.Alex serves/ed as Conference Co-chair of the International Conference on Enterprise Information Systems (ICEIS-2023, ICEIS-2022, ICEIS-2021, ICEIS-2020, ICEIS-2019); keynote speaker at ICEIS-2018; General Chair of the IEEE International Conference on Tools with Artificial Intelligence (ICTAI-2017);  keynote speaker at ICEIS-2018 and ICTAI-2016; Program Chair of ICTAI-2013; Program Co-chair of the IEEE ICDE workshop on Data-Driven Decision Guidance and Support Systems (DGSS 2012, and DGSS 2013); a general vice co-chair of IEEE ICDE 2012; and Conference Chair of the International Conference on Principles and Practice of Constraint Programming (CP99).In 1999, Alex founded AdaptiveTrade, a start-up company based on the technology of optimization-based B2B markets, which he had invented. He led the company as President and CEO through technology commercialization, and two rounds of private and VC funding until 2001. He then continued to serve as CTO and Chairman of the Board of Directors’ Executive Committee, through the company’s acquisition by B2e Markets in 2004. In 2004, Alex founded Adaptive Decisions, an optimization solutions company, which he currently heads. Prior to GMU, he worked at IBM's T.J. Watson Research Center, and was an R&D officer in the C4I Corps, IDF.Alex Brodsky is a Professor in the department of Computer Science at George Mason University (GMU). He earned his Ph.D. and prior degrees in Computer Science and/or Mathematics from the Hebrew University of Jerusalem. His current research interests include Decision Support, Guidance and Optimization (DSGO) systems; and DSGO applications, including to service networks, energy, power, sustainability, manufacturing, supply chain and epidemiology.He has published over 150 scholarly refereed journal and conference papers and received five Best Paper Awards and two Best Student Paper Awards. For his research work related to DSGO systems, Alex received an NSF CAREER Award, NSF Research Initiation Award, and awards from ONR, NASA, NIST, and Dominion Virginia Power.Alex serves/ed as Conference Co-chair of the International Conference on Enterprise Information Systems (ICEIS-2023, ICEIS-2022, ICEIS-2021, ICEIS-2020, ICEIS-2019); keynote speaker at ICEIS-2018; General Chair of the IEEE International Conference on Tools with Artificial Intelligence (ICTAI-2017);  keynote speaker at ICEIS-2018 and ICTAI-2016; Program Chair of ICTAI-2013; Program Co-chair of the IEEE ICDE workshop on Data-Driven Decision Guidance and Support Systems (DGSS 2012, and DGSS 2013); a general vice co-chair of IEEE ICDE 2012; and Conference Chair of the International Conference on Principles and Practice of Constraint Programming (CP99).In 1999, Alex founded AdaptiveTrade, a start-up company based on the technology of optimization-based B2B markets, which he had invented. He led the company as President and CEO through technology commercialization, and two rounds of private and VC funding until 2001. He then continued to serve as CTO and Chairman of the Board of Directors’ Executive Committee, through the company’s acquisition by B2e Markets in 2004. In 2004, Alex founded Adaptive Decisions, an optimization solutions company, which he currently heads. Prior to GMU, he worked at IBM's T.J. Watson Research Center, and was an R&D officer in the C4I Corps, IDF. "
21,Brittany Johnson-Matthews,"   I am an Assistant Professor at George Mason University in the Department of Computer Science. Before joining George Mason, I was a postdoc at University of Massachusetts, Amherst working with Drs. Yuriy Brun and Alexandra Meliou in the LASER lab. I received my Bachelor's of Arts inComputer Science from College of Charleston in 2011 where I conducted undergraduate research under Dr. Jim Bowring in CIRDLES. I received my Ph.D. in Computer Science in 2017 from NC State University, where I worked with Drs. Emerson Murphy-Hill and Sarah Heckman in the Developer Liberation Front.My research interests are in human factors in software engineering, artificial intelligence, and software testing. More can be found on my website: http://brittjay.meI am an Assistant Professor at George Mason University in the Department of Computer Science. Before joining George Mason, I was a postdoc at University of Massachusetts, Amherst working with Drs. Yuriy Brun and Alexandra Meliou in the LASER lab. I received my Bachelor's of Arts inComputer Science from College of Charleston in 2011 where I conducted undergraduate research under Dr. Jim Bowring in CIRDLES. I received my Ph.D. in Computer Science in 2017 from NC State University, where I worked with Drs. Emerson Murphy-Hill and Sarah Heckman in the Developer Liberation Front.My research interests are in human factors in software engineering, artificial intelligence, and software testing.  More can be found on my website: http://brittjay.me "
22,Carlotta Domeniconi,
23,Daniel Barbara,
24,Elizabeth White,
25,Eric Osterweil,
26,Gheorghe Tecuci,
27,Jeff Offutt,"   I have over 30 years of experience as a researcher, educator, and leader in the field of computing. In my teaching, I have created many new courses at the graduate and undergraduate level, innovated numerous pedagogical techniques, led research projects in computing education, and led several efforts to create new educational programs. I have served as department chair, associate chair, and run committees at all collegiate levels, and received several awards reflecting my contributions in teaching, research, and leadership.In my research, I seek to invent new ways to build better software, cheaper. I have made highly cited contributions in software engineering that are widely used in industry.I have over 30 years of experience as a researcher, educator, and leader in the field of computing. In my teaching, I have created many new courses at the graduate and undergraduate level, innovated numerous pedagogical techniques, led research projects in computing education, and led several efforts to create new educational programs. I have served as department chair, associate chair, and run committees at all collegiate levels, and received several awards reflecting my contributions in teaching, research, and leadership.In my research, I seek to invent new ways to build better software, cheaper. I have made highly cited contributions in software engineering that are widely used in industry. "
28,Jim Chen,
29,Robert Pettit,"   Rob Pettit has over 30 years of experience in the software engineering industry with expertise in large-scale, mission-critical software systems.  Dr. Pettit is internationally recognized in the fields of model-based software engineering; real-time software systems; and in the Ada programming language. He has authored over 40 refereed papers and co-authored the textbook globally referenced as the Ada coding standard.  Currently, Dr. Pettit is a senior project leader for spaceflight software at The Aerospace Corporation.  In this role, Dr. Pettit is responsible for mission assurance activities related to spaceflight software; mentoring junior staff; providing technical direction and research leadership; and supporting corporate interests in model-based software engineering.Dr. Pettit has taught numerous industrial and academic software engineering courses and is very active in the professional community, having been elevated to Senior Member in the IEEE; serving as program, general, and steering committee chair for multiple international conferences; serving as an editor for an international journal, and delivering presentations at international forums.  Dr. Pettit is an Adjunct Professor at both George Mason University and Virginia Tech, where he teaches courses in software engineering, architecture, design, and modeling. Dr. Pettit received his B.S., Computer Science / Mathematics degree in 1991 from the University of Evansville, his M.S., Software Systems Engineering degree in 1995 from the George Mason University, and his Ph.D. in Information Technology Engineering / Software Engineering from George Mason University in 2003.  Dr. Pettit is also very passionate about STEM education for the next generation and regularly volunteers in the Loudoun County Public Schools to assist in computer science and aerospace education at the high school level. Rob Pettit has over 30 years of experience in the software engineering industry with expertise in large-scale, mission-critical software systems.  Dr. Pettit is internationally recognized in the fields of model-based software engineering; real-time software systems; and in the Ada programming language. He has authored over 40 refereed papers and co-authored the textbook globally referenced as the Ada coding standard.  Currently, Dr. Pettit is a senior project leader for spaceflight software at The Aerospace Corporation.  In this role, Dr. Pettit is responsible for mission assurance activities related to spaceflight software; mentoring junior staff; providing technical direction and research leadership; and supporting corporate interests in model-based software engineering.Dr. Pettit has taught numerous industrial and academic software engineering courses and is very active in the professional community, having been elevated to Senior Member in the IEEE; serving as program, general, and steering committee chair for multiple international conferences; serving as an editor for an international journal, and delivering presentations at international forums.  Dr. Pettit is an Adjunct Professor at both George Mason University and Virginia Tech, where he teaches courses in software engineering, architecture, design, and modeling.  Dr. Pettit received his B.S., Computer Science / Mathematics degree in 1991 from the University of Evansville, his M.S., Software Systems Engineering degree in 1995 from the George Mason University, and his Ph.D. in Information Technology Engineering / Software Engineering from George Mason University in 2003.  Dr. Pettit is also very passionate about STEM education for the next generation and regularly volunteers in the Loudoun County Public Schools to assist in computer science and aerospace education at the high school level.  "
30,Tamara Maddox,
31,Thomas LaToza,
32,Erion Plaku,"   Erion Plaku is an Associate Professor in the Department of Computer Science, College of Engineeringand Computing at George Mason University (GMU) (08/2020–present). Dr. Plaku’s research is on AI andRobotics and focuses on enhancing robot autonomy and human-robot collaborations. Dr. Plaku’s research has been supported by NSF Intelligent Information Systems, NSF Software Infrastructure, and the U.S. Naval Research Laboratory. More information, including publications, research projects, and open-source software he has developed for task and motion planning, as well as educational materials can be found at https://cs.gmu.edu/∼plaku/.Prior to joining GMU, Dr. Plaku was an Assistant Professor and later Associate Professor in the Department of Electrical Engineering and Computer Science, School of Engineering at the Catholic University of America (08/2010–08/2020). Dr. Plaku received his Ph.D. degree in Computer Science from Rice University (2008). He was a Postdoctoral Fellow in the Laboratory for Computational Sensing and Robotics at Johns Hopkins University (08/2008–08/2010).Dr. Plaku served as an NSF IPA Program Director in the Directorate for Computer and Information Science and Engineering and the Division of Information and Intelligent Systems (IIS) (08/19/2019–08/18/2022), where he co-led the National Robotics Initiative (NRI), the Foundational Research in Robotics (FRR), and the Intelligent Robotics and Autonomous Systems (IRAS) Interagency Working Group, which is part of the Networking and Information Technology Research and Development (NITRD) Program.Erion Plaku is an Associate Professor in the Department of Computer Science, College of Engineeringand Computing at George Mason University (GMU) (08/2020–present). Dr. Plaku’s research is on AI andRobotics and focuses on enhancing robot autonomy and human-robot collaborations. Dr. Plaku’s research has been supported by NSF Intelligent Information Systems, NSF Software Infrastructure, and the U.S. Naval Research Laboratory. More information, including publications, research projects, and open-source software he has developed for task and motion planning, as well as educational materials can be found at https://cs.gmu.edu/∼plaku/.Prior to joining GMU, Dr. Plaku was an Assistant Professor and later Associate Professor in the Department of Electrical Engineering and Computer Science, School of Engineering at the Catholic University of America (08/2010–08/2020). Dr. Plaku received his Ph.D. degree in Computer Science from Rice University (2008). He was a Postdoctoral Fellow in the Laboratory for Computational Sensing and Robotics at Johns Hopkins University (08/2008–08/2010).Dr. Plaku served as an NSF IPA Program Director in the Directorate for Computer and Information Science and Engineering and the Division of Information and Intelligent Systems (IIS) (08/19/2019–08/18/2022), where he co-led the National Robotics Initiative (NRI), the Foundational Research in Robotics (FRR), and the Intelligent Robotics and Autonomous Systems (IRAS) Interagency Working Group, which is part of the Networking and Information Technology Research and Development (NITRD) Program. "
33,Evgenios Kornaropoulos,
34,Fang-Yi Yu,"   My research interests are in machine learning, dynamical systems, and economy.My research interests are in machine learning, dynamical systems, and economy. "
35,Foteini Baldimtsi,"   I am an assistant professor in the Computer Science Department at George Mason University. My research interests are in cryptography, security and data privacy with a special focus on electronic cash, blockchain technologies, and private authentication techniques.I received my Ph.D. from Brown University in May 2014 where I was supervised by Anna Lysyanskaya. During my time at Brown I was fortunate to spent a semester at Microsoft Research in Redmond, WA working in the Cryptography group with Melissa Chase and a summer at IBM Research in Zurich working as a member of the Cryptography and Security group. From 2014 to 2016 I was a postdoctoral researcher in the BU Security group at Boston University and also had a research affiliation with the Crypto.Sec group in University of Athens. I am an assistant professor in the Computer Science Department at George Mason University. My research interests are in cryptography, security and data privacy with a special focus on electronic cash, blockchain technologies, and private authentication techniques.I received my Ph.D. from Brown University in May 2014 where I was supervised by Anna Lysyanskaya. During my time at Brown I was fortunate to spent a semester at Microsoft Research in Redmond, WA working in the Cryptography group with Melissa Chase and a summer at IBM Research in Zurich working as a member of the Cryptography and Security group. From 2014 to 2016 I was a postdoctoral researcher in the BU Security group at Boston University and also had a research affiliation with the Crypto.Sec group in University of Athens.  "
36,Gregory Stein,
37,Huzefa Rangwala,"   Machine Learning, Data Mining, High Performance Computing, Bioinformatics  and Social Network AnalysisMachine Learning, Data Mining, High Performance Computing, Bioinformatics  and Social Network Analysis "
38,Ivan Avramovic,"   Current graduate student at Quinnipiac University studying Business Analytics. Interested in helping organizations analyze data for long-term growth. Key skills include: SQL, SAS Enterprise Miner, Optimization, Stata, SPSS, HTML, CSSCurrent graduate student at Quinnipiac University studying Business Analytics. Interested in helping organizations analyze data for long-term growth. Key skills include: SQL, SAS Enterprise Miner, Optimization, Stata, SPSS, HTML, CSS "
39,Jessica Lin,"   My research focuses on the mining of large multimedia datasets, including time series, spatiotemporal, text, and image data.My research focuses on the mining of large multimedia datasets, including time series, spatiotemporal, text, and image data. "
40,Jinwei Ye,
41,Jyh-Ming Lien,"   My research is in the areas of computational geometry, computer graphics, and robotics. My research goal is to develop efficient algorithms for representing, manipulating and analyzing massive geometric data of shape and motion.Specialties: Geometric ComputingMy research is in the areas of computational geometry, computer graphics, and robotics. My research goal is to develop efficient algorithms for representing, manipulating and analyzing massive geometric data of shape and motion.Specialties: Geometric Computing "
42,Kevin Andrea,
43,Kevin Moran,"   Kevin Moran is an Assistant Professor in the Department of Computer Science at George Mason University.  He graduated with his B.A. in Physics with a Computer Science Minor from the College of the Holy Cross in 2013. He graduated with his M.S. in Computer Science from William & Mary in 2015, and his Ph.D. in Computer Science from William & Mary in 2018, advised by Dr. Denys Poshyvanyk.  Kevin was a former senior member of the SEMERU research group. His main research interests include software engineering, maintenance, and evolution with a focus on mobile platforms. Additionally, he explores applications of machine learning to data mined from software repositories in order to create practical automation for developers. Kevin Moran is an Assistant Professor in the Department of Computer Science at George Mason University.  He graduated with his B.A. in Physics with a Computer Science Minor from the College of the Holy Cross in 2013. He graduated with his M.S. in Computer Science from William & Mary in 2015, and his Ph.D. in Computer Science from William & Mary in 2018, advised by Dr. Denys Poshyvanyk.  Kevin was a former senior member of the SEMERU research group. His main research interests include software engineering, maintenance, and evolution with a focus on mobile platforms. Additionally, he explores applications of machine learning to data mined from software repositories in order to create practical automation for developers.  "
44,Lishan Yang,"   I am a tenure-track assistant professor in the Department of Computer Science at George Mason University. I received my Ph.D. degree from the Computer Science Department at the College of William & Mary in 2022, under the supervision of Prof. Evgenia Smirni. My research interest falls in GPU architecture, reliability analysis, and performance analysis. Before coming to W&M, I got my bachelor degree in computer science from University of Science and Technology of China (USTC) in 2016.I am a tenure-track assistant professor in the Department of Computer Science at George Mason University. I received my Ph.D. degree from the Computer Science Department at the College of William & Mary in 2022, under the supervision of Prof. Evgenia Smirni. My research interest falls in GPU architecture, reliability analysis, and performance analysis. Before coming to W&M, I got my bachelor degree in computer science from University of Science and Technology of China (USTC) in 2016. "
45,Mingrui Liu,"   Homepage: https://mingrliu.github.ioI work on research problems on machine learning, optimization, deep learning and its applications.Homepage: https://mingrliu.github.ioI work on research problems on machine learning, optimization, deep learning and its applications. "
46,Sanmay Das,
47,Sara-Lynn Gopalkrishna,"   My mission/responsibility/job is to teach CS well. My interests center around computer science education, including teacher preparation, advocacy, leadership, and policy implementation towards the goal of equity in access and interest in CS from high school, college, and beyond!My mission/responsibility/job is to teach CS well. My interests center around computer science education, including teacher preparation, advocacy, leadership, and policy implementation towards the goal of equity in access and interest in CS from high school, college, and beyond! "
48,Shahnaz Kamberi,"   Computer Science professor teaching programming at multiple levels, onsite and online; with specialty in game programming, educational game development, serious game development and game design. STEM outreach professional responsible for focusing on engaging the student in the classroom through new innovative methods. Known for using educational computer games, software tools, using unplugged activities, social media and other means to provide the best learning environment for both adult learners and millennial/Generation Y,Z students. Dissertation focus was on the use of educational computer games to increase adolescent girls’ interest in computer science.Computer Science professor teaching programming at multiple levels, onsite and online; with specialty in game programming, educational game development, serious game development and game design. STEM outreach professional responsible for focusing on engaging the student in the classroom through new innovative methods. Known for using educational computer games, software tools, using unplugged activities, social media and other means to provide the best learning environment for both adult learners and millennial/Generation Y,Z students. Dissertation focus was on the use of educational computer games to increase adolescent girls’ interest in computer science. "
49,Shvetha Soundararajan,"   Associate Professor (Teaching) in the Department of Computer Science, George Mason University. Areas of Interests: Agile Transformation, Software Development, Requirements Engineering, User Experience Research, Software Quality and Process Improvement, Software Architecture, and Computer Science Education.Associate Professor (Teaching) in the Department of Computer Science, George Mason University. Areas of Interests: Agile Transformation, Software Development, Requirements Engineering, User Experience Research, Software Quality and Process Improvement, Software Architecture, and Computer Science Education. "
50,Songqing Chen,
51,Wassim Itani,   Specialties: Cloud Computing Security and PrivacyComputer and Network SecuritySpecialties: Cloud Computing Security and PrivacyComputer and Network Security 
