,Name,Title,Descriptions,Date
10,David Rosenblum,Model-based fault detection in context-aware adaptive applications," Applications running on mobile devices are heavily context-aware and adaptive, leading to new analysis and testing challenges as streams of context values drive these applications to undesired configurations that are not easily exposed by existing validation techniques. We address this challenge by employing a finite-state model of adaptive behavior to enable the detection of faults caused by (1) erroneous adaptation logic, and (2) asynchronous updating of context information, which leads to inconsistencies between the external physical context and its internal representation within an application. We identify a number of adaptation fault patterns, each describing a class of faulty behaviors that we detect automatically by analyzing the system's adaptation model. We illustrate our approach on a simple but realistic application in which a cellphone's configuration profile is changed automatically based on the user's location, speed and surrounding environment.",9-Nov-08
11,David Rosenblum,Algorithms for efficient symbolic detection of faults in context-aware applications,"Context-aware and adaptive applications running on mobile devices pose new challenges for the verification community. Current verification techniques are tailored for different domains (mostly hardware) and the kind of faults that are typical of applications running on mobile devices are difficult (or impossible) to encode using the patterns of ldquotraditionalrdquo verification domains. In this paper we present how techniques similar to the ones used in symbolic model checking can be applied to the verification of context-aware and adaptive applications. More in detail, we show how a model of a context-aware application can be encoded by means of ordered binary decision diagrams and we introduce symbolic algorithms for the verification of a number of properties.",14-Sep-08
12,David Rosenblum,"Multi-layer faults in the architectures of mobile, context-aware adaptive applications: a position paper","Five cellphones are sold every second, and there are four times more cellphones than computers, meaning there are some billions of mobile handheld devices in existence. Modern cellphones are equipped with multiple context sensors used by increasingly sophisticated software applications that exploit the sensors, allowing the applications to adapt automatically to changes in the surrounding environment, such as by responding to the location and speed of the user. The architecture of such applications is typically layered and incorporates a context-awareness middleware to support processing of context values. While this layered architecture is very natural for the design and implementation of applications, it gives rise to new kinds of faults and faulty behavior modes, which are difficult to detect using existing validation techniques. In this paper we provide scenarios illustrating such faults and exploring how they manifest in context-aware adaptive applications.",10-May-08
0,Brittany Johnson-Matthews,A Study on Improving Static Analysis Tools: Why Aren’t We Using Them?,see ICSE 2013 paper,ICSE 2012 ACM Student Research Competition
1,Brittany Johnson-Matthews,Bespoke Tools: Adapted to the Concepts Developers Know,"Even though dierent developers have varying levels of expertise, the tools in one developer's integrated development environment (IDE) behave the same as the tools in every other developers' IDE. In this paper, we propose the idea of automatically customizing development tools by modeling what a developer knows about software concepts. We then sketch three such bespoke tools and describe how development data can be used to infer what a developer knows about relevant concepts. Finally, we describe our ongoing efforts to make bespoke program analysis tools that customize their notications to the developer using them.",ESEC/FSE 2015 Proceedings
2,Brittany Johnson-Matthews,Novice Understanding of Program Analysis Tool Notifications,"Program analysis tools are available to make programmers’ jobs easier by automating tasks that would otherwise be performed manually or not at all. To communicate with the programmer, these tools use notiﬁcations, which may be textual, visual, or a combination of both. Research has shown that these notiﬁcations need improvement in two areas: expressiveness and scalability. In the research described here, I begin an investigation into the expressiveness and scalability of existing program analysis tools and potential improvements in expressiveness and scalability in and across these tools",ICSE 2013 ACM Student Research Competition
3,Brittany Johnson-Matthews,Why Don't Software Developers Use Static Analysis Tools to Find Bugs?,"Using static analysis tools for automating code
inspections can be beneﬁcial for software engineers. Such tools
can make ﬁnding bugs, or software defects, faster and cheaper
than manual inspections. Despite the beneﬁts of using static
analysis tools to ﬁnd bugs, research suggests that these tools
are underused. In this paper, we investigate why developers
are not widely using static analysis tools and how current tools
could potentially be improved. We conducted interviews with 20
developers and found that although all of our participants felt
that use is beneﬁcial, false positives and the way in which the
warnings are presented, among other things, are barriers to use.
We discuss several implications of these results, such as the need
for an interactive mechanism to help developers ﬁx defects.",ICSE 2013 Proceedings
0,Eric Osterweil,Client-side Name Collision Vulnerability in the New gTLD Era: A Systematic Study,"The recent unprecedented delegation of new generic top-level do- mains (gTLDs) has exacerbated an existing, but fallow, problem called name collisions. ... We analyze the causes, and  nd that the name collision problem broadly breaks common security as- sumptions made in today’s service client software. Leveraging the insights from our analysis, we propose multiple service software level solutions, which enables the victim services to actively de- fend against name collision attacks.",1-Nov-17
1,Eric Osterweil,MitM Attack by Name Collision: Cause Analysis and Vulnerability Assessment in the New gTLD Era,"Recently, Man in the Middle (MitM) attacks on web browsing have become easier than they have ever been before because of a problem called “Name Collision” and a protocol called the Web Proxy Auto-Discovery (WPAD) protocol. This name collision attack can cause all web traffic of an Internet user to be redirected to a MitM proxy automatically right after the launching of a standard browser. ... We discuss promising directions for remediation at the new gTLD registry, Autonomous System (AS), and end user levels, and use empirical data analysis to estimate and compare their effectiveness and deployment difficulties.",1-May-16
2,Eric Osterweil,The Shape and Size of Threats: Defining a Networked System's Attack Surface,"As more complex security services have been added to today’s Internet, it becomes increasingly difficult to quantify their vulnerability to compromise. The concept of “attack surface” has emerged in recent years as a measure of such vulnerabilities, however systematically quantifying the attack surfaces of networked systems remains an open challenge. In this work we propose a methodology
to both quantify the attack surface and visually represent semantically different components (or resources) of such systems by identifying their dependencies. To illustrate the efficacy of our methodology, we examine two real Internet standards (the X.509 CA verification system and DANE)
as case studies. We believe this work represents a first step towards systemically modeling dependencies of (and interdependencies between) networked systems, and shows the usability benefits from leveraging existing services. ",21-Oct-14
3,Eric Osterweil,Measuring IPv6 Adoption,"The Internet is on the verge of its first fundamentally-disruptive transition—one which will impose extensive change throughout the network. On February 3, 2011 the Internet Assigned Numbers Authority (IANA) allocated the last unallocated blocks of IPv4 address space to the five Regional Internet Registries (RIRs), accelerating pressure for migration to the next version of the Internet protocol, IPv6. This inflection point offers a unique opportunity to study the adoption of new technologies at an unprecedented scale. In this paper, we provide measurement of this significant transition. Unlike existing studies, which are limited to specific IPv6 characteristics or time scales, our goal is to create a comprehensive and longitudinal picture of IPv6 adoption. Using large, global-scale datasets, we assemble measurements encompassing the important aspects of adoption, including both new and previously-proposed measures. Spanning a period of almost ten years, these metrics include numerous notable adoption milestones, such as the recent World IPv6 Launch event in June of 2012 and the European RIR’s IPv4 address exhaustion in September of that year.",12-Aug-14
4,Eric Osterweil,Verifying Keys through Publicity and Communities of Trust: Quantifying Off-Axis Corroboration,"The DNS Security Extensions (DNSSEC) arguably make DNS the first core Internet system to be protected using public key cryptography. The success of DNSSEC not only protects the DNS, but has generated interest in using this secured global database for new services such as those proposed by the IETF DANE working group. However, continued success is only possible if several important operational issues can be addressed. For example, .gov and .arpa have already suffered misconfigurations where DNS continued to function properly, but DNSSEC failed (thus, orphaning their entire subtrees in DNSSEC). Internet-scale verification systems must tolerate this type of chaos, but what kind of verification can one derive for systems with dynamism like this? In this paper, we propose to achieve robust verification with a new theoretical model, called Public Data, which treats operational deployments as Communities of Trust (CoTs) and makes them the verification substrate. Using a realization of the above idea, called Vantages, we quantitatively show that using a reasonable DNSSEC deployment model and a typical choice of a CoT, an adversary would need to be able to have visibility into and perform on-path Man-in-the-Middle (MitM) attacks on arbitrary traffic into and out of up to 90 percent of the all of the Autonomous Systems (ASes) in the Internet before having even a 10 percent chance of spoofing a DNSKEY. Further, our limited deployment of Vantages has outperformed the verifiability of DNSSEC and has properly validated its data up to 99.5 percent of the time.",1-Feb-14
5,Eric Osterweil,Architectural Considerations of IP Anycast,This memo discusses architectural implications of IP anycast and provides some historical analysis of anycast use by various IETF protocols. ,16-Jan-14
6,Eric Osterweil,Dissecting Ghost Clicks: Ad Fraud Via Misdirected Human Clicks,"FBI's Operation Ghost Click, the largest cybercriminal takedown in history, recently took down an ad fraud infrastructure that affected 4 million users and made its owners 14 million USD over a period of four years. The attackers hijacked clicks and ad impressions on victim machines infected by a DNS changer malware to earn ad revenue fraudulently. We experimented with the attack infrastructure when it was in operation and present a detailed account of the attackers' modus operandi. We also study the impact of this attack on real-world users and find that 37 subscriber lines were impacted in our data set. Also, 20 ad networks and 257 legitimate Web content publishers lost ad revenue while the attackers earned revenue convincing a dozen other ad networks that their ads were served on websites with real visitors. Our work expands the understanding of modalities of ad fraud and could help guide appropriate defense strategies.",1-Dec-13
7,Eric Osterweil,"Behavior of DNS’ Top Talkers, a .com / .net View","This paper provides the first systematic study of DNS data taken from one of the 13 servers for the .com / .net registry. DNS’ generic Top Level Domains (gTLDs) such .com and .net serve resolvers from throughout the Internet and respond to billions of DNS queries every day. This study uses gTLD data to characterize the DNS resolver population and profile DNS query types. The results show a small and relatively stable set of resolvers (i.e. the top-talkers) constitute 90% of the overall traffic. The results provide a basis for understanding for this critical Internet service, insights on typical resolver behaviors and the use of IPv6 in DNS, and provides a foundation for further study of DNS behavior.",1-Mar-12
8,Eric Osterweil,Reducing the X.509 Attack Surface with DNSSEC's DANE,"For the last decade, perhaps the most commonly used type of end-user security has been the HTTP Secure (HTTPS) protocol employed by web browsers (which runs over the Secure Sockets Layer, SSL or its successor, TLS). In HTTPS, any service (such as a website) may create its own cryptographic certificate to secure its communication channel, and clients use this certificate to verify data from, and transmit data to the server. This model has helped to secure online banking transactions, eCommerce websites, social networking websites, and more. However, two inherent complications to this approach are that clients must have a secure way to learn the authentic certificate for each website before they begin using this protocol, and they must be able to determine if they can trust the named entity that the certificate belongs to. These complications are conflated in today’s security model, which is based on a list of prespecified trusted X.509 Certificate
Authorities (CAs) that every client must know a priori, and a very ad-hoc approach to determining which of this list of CAs will vouch for any keys discovered.

In this paper we first outline some of the fundamental problems that exist with today’s CA model, problems that arise from its conflation of the two inherent complications, and some of the implications and attack vectors that these problems present to the security of this model’s users. Then we introduce some of the relative benefits that can be gained from a new approach being standardized in the IETF called DNS-based Authentication of Named Entities (DANE), in which certificate credentials are verified by DNSSEC-enabled zones, rather than the CA model used today. We illustrate that
the DNSSEC-verification model reduces the attack surface that users currently inherit, and show that this model opens avenues that have previously remained elusive (such as a usable S/MIME verification infrastructure).",1-Mar-12
9,Eric Osterweil,The Great IPv4 Land Grab: Resource Certification for the IPv4 Grey Market,"The era of free IPv4 address allocations has ended and the grey market in IPv4 addresses is now emerging. This paper argues that one cannot and should not try to regulate who sells addresses and at what price, but one does need to provide some proof of ownership in the form of resource certification. In this paper we identify key requirements of resource certification, gained from both theoretical analysis and operational history. We further argue these requirements
can be achieved by making use of the existing reverse DNS hierarchy, enhanced with DNS Security. Our analysis compares reverse DNS entries and BGP routing tables and shows this is both feasible and achievable today; an essential requirement as the grey market is also emerging today and solutions are needed now, not years in the future.",1-Nov-11
10,Eric Osterweil,Operational Implications of the DNS Control Plane,,1-May-11
11,Eric Osterweil,Cross-Modal Vulnerabilities: An Illusive form of Hijacking,"Content, connection, and other types of hijacking are a common occurrence in todayÂ’s Internet. One can broadly classify various types of hijacks as being locally scoped to an administrative domain, or pushed externally; where one administrative domain (intentionally or unintentionally) hijacks users in other domains. Current work in identifying and reacting to various types of Internet hijacking has focused on the network control plane and has not included cross-modal hijacks that involve both the control plane and the data plane of the Internet. In this work we introduce the idea that cross-modal threats exist in the Internet and form a highly illusive, but serious threat. Further, we detail an actual instance of Internet-scale cross-modal hijacking whose behavior depends on both network control data and data plane such as the order in which users request connections. Based on anecdotal evidence gleaned from several websites, it appears that this hijack existed for many months (and possibly years) before its recent detection.",1-Mar-10
12,Eric Osterweil,Deploying Cryptography in Internet-Scale Systems: A Case Study on DNSSEC,"The DNS Security Extensions (DNSSEC) are among the first attempts to deploy cryptographic protections in an Internet-scale operational system. DNSSEC applies well-established public key cryptography to ensure data integrity and origin authenticity in the DNS system. While the cryptographic design of DNSSEC is sound and seemingly simple, its development has taken the IETF over a decade and several protocol revisions, and even today its deployment is still in the early stage of rolling out. In this paper, we provide the first systematic examination of the design, deployment, and operational challenges encountered by DNSSEC over the years. Our study reveals a fundamental gap between cryptographic designs and operational Internet systems. To be deployed in the global Internet, a cryptographic protocol must possess several critical properties including scalability, flexibility, incremental deployability, and ability to function in face of imperfect operations. We believe that the insights gained from this study can offer valuable inputs to future cryptographic designs for other Internet-scale systems.",1-Jan-10
13,Eric Osterweil,Deploying and Monitoring DNS Security (DNSSEC),"SecSpider is a DNSSEC monitoring system that helps identify operational errors in the DNSSEC deployment and discover unforeseen obstacles. It collects, verifies, and publishes the DNSSEC keys for DNSSEC-enabled zones, which enables operators of both authoritative zones and recursive resolvers to deploy DNSSEC immediately, and benefit from its cryptographic protections. In this paper we present the design and implementation of SecSpider as well as several general lessons that stem from its design and implementation.",1-Dec-09
14,Eric Osterweil,Interadministrative Challenges in Managing DNSKEYs,"Although the visible deployment of Domain Name System Security Extensions is growing at a tremendous rate, evidence suggests that managing cryptographic keys is deceptively complex. Here, the authors outline the problem of managing DNSKEYs and present a survey comparison of existing proposed solutions.",1-Sep-09
15,Eric Osterweil,Managing Trusted Keys in Internet-Scale Systems,,1-Jun-09
16,Eric Osterweil,Quantifying the Operational Status of the DNSSEC Deployment,"This paper examines the deployment of the DNS Security Extensions (DNSSEC), which add cryptographic protection to DNS, one of the core components in the Internet infrastructure. We analyze the data collected from the initial DNSSEC deployment which started over 2 years ago, and identify three critical metrics to gauge the deployment: availability, verifiability, and validity. Our results provide the first comprehensive look at DNSSEC’s deployment and reveal a number of challenges that were not anticipated in the design but have become evident in the deployment. First, obstacles such as middle-boxes (firewalls, NATs, etc.) that exist in today’s Internet infrastructure have proven to be problematic and have resulted in unforeseen availability problems. Second, the public-key delegation system of DNSSEC has not evolved as it was hoped and it currently leaves over 97% of DNSSEC zones isolated and unverifiable, unless some external key authentication mechanism is added. Furthermore, our results show that cryptographic verification is not equivalent to validation; a piece of verified data can still contain the wrong value. Finally, our results demonstrate the essential role of monitoring and measurement in the DNSSEC deployment. We believe that the observations and lessons from the DNSSEC deployment can provide insights into measuring future Internet-scale cryptographic systems.",10-Oct-08
17,Eric Osterweil,Limiting Replay Vulnerabilities in DNSSEC,"The DNS Security Extensions (DNSSEC) added public key cryptography to the DNS, but problems remain in selecting signature lifetimes. A zone’s master server distributes signatures to secondary servers. The signatures lifetimes should be long so that a secondary server can still operate if the master fails. However, DNSSEC lacks revocation. Signed data can be replayed until the signature expires and thus zones should select a short signature lifetime. Operators must choose between reduced robustness or long replay vulnerability windows.

This paper introduces a revised DNSSEC signature that allows secondary servers to operate even if the master has failed while simultaneously limiting replay windows to twice the TTL. Each secondary server constructs a hash chain and relays the hash chain anchor to the master server. The signature produced by the master server ensures the authenticity of the hash anchor and the DNS data. A secondary server includes both the signature and a hash chain value used by resolvers to limit signature replay. Our implementation shows the added costs are minimal compared to DNSSEC and ensures robustness against long-term master server failures. At the same time, we limit replay to twice the record TTL value.",1-Oct-08
18,Eric Osterweil,Observations from the DNSSEC Deployment,DNS Security Extensions have been developed to add cryptographic protection to the Internet name resolution service. In this paper we report the results from our monitoring effort with early DNSSEC deployment trials and the lessons learned.,1-Oct-07
19,Eric Osterweil,Zone State Revocation for DNSSEC,"DNS Security Extensions (DNSSEC) are designed to add cryptographic protection to the Internet’s name resolution service. However the current design lacks a key revocation mechanism. In this paper we present Zone State Revocation (ZSR), a lightweight and backward compatible enhancement to DNSSEC. ZSR enables zones to explicitly revoke keys using self-certifying certificates, and enables DNS name-servers to opportunistically inform distributed caching resolvers of key revocations via lightweight control messages. Further, ZSR allows resolvers to distinguish between legitimate key changes and potential attacks when authentication chains are broken. ZSR is designed to work well with global-scale DNS operations, where millions of caches may need to be informed of a revocation, and where time is critical.",1-Aug-07
20,Eric Osterweil,Security Through Publicity,"Current large-scale authentication and non-repudiation systems offer various security measures, but do not meet the needs of today’s Internet-scale applications. Though several designs exist, there have been no significant deployments of Internet-scale security infrastructures. In this paper we propose a novel concept called the public-space that makes complete information of digital entities’ actions publicly available to every user. It is a structured framework that maintains a large number of entities, their actions, relationships, and histories. Posting such information in public does not endorse the information’s correctness, but it does provide users with a quantifiable set of information that enables them to detect faults and make informed security decisions. Combined with traditional cryptographic techniques, the public-space system can support the intrinsic heterogeneity of user security requirements in Internet-scale infrastructures and applications.",1-Jul-06
21,Eric Osterweil,Lightweight Temporal Compression of Microclimate Datasets,"Since the inception of sensor networks, in-network processing has been touted as the enabling technology for long-lived deployments. Radio communication is the overriding consumer of energy in such networks. There- fore, data reduction before transmission, either by compression or feature extraction, will directly and significantly increase network lifetime.

In many cases, it is premature to begin implementing feature extraction techniques. Users do not yet under- stand in what forms interesting data will appear and consequently can’t risk automatically discarding what they presume to be uninteresting. Moreover, computer scientists are only beginning to develop algorithms to collect spatially distributed features in situ.

Even for the many application where all of the data must be transported out of the network, data may be com- pressed before transport, so long as the chosen compression technique can operate under the stringent resource constraints of low-power nodes and induces only tolerable errors. This paper evaluates a simple temporal compression scheme designed specifically to be used by mica motes for the compaction of microclimate data. The algorithm makes use of the observation that over a small enough window of time, samples of microclimate data are linear. It finds such windows and generates a series of line segments that accurately represent the data. It compresses data up to 20-to-1 while introducing error on the order of the sensor hardware’s specified margin of error. Further-
more it is simple, consumes little CPU and requires very little storage when compared to other compression techniques. This paper describes the technique and results using a dataset from a one-year microclimate deployment.",1-Nov-04
