,names,ProfileLinks
43,Xuesu Xiao,https://scholar.google.com//citations?hl=en&user=r9TQ2n4AAAAJ
44,Yotam Gingold,https://scholar.google.com//citations?hl=en&user=lFh34ncAAAAJ
45,Ziwei Zhu,https://scholar.google.com//citations?hl=en&user=3S6pM7wAAAAJ
46,Ziyu Yao,https://scholar.google.com//citations?hl=en&user=4lYrMNUAAAAJ
47,Aditya Johri,https://scholar.google.com//citations?hl=en&user=Mv2dCeEAAAAJ
48,Kun Sun,https://scholar.google.com//citations?hl=en&user=u18hG4gAAAAJ
49,Michael Eagle,https://scholar.google.com//citations?hl=en&user=UPVSnPIAAAAJ
50,Emanuela Marasco,https://scholar.google.com//citations?hl=en&user=moyHyGsAAAAJ
51,Hemant Purohit,https://scholar.google.com//citations?hl=en&user=uGNw0SQAAAAJ
52,Irina Hashmi,https://scholar.google.com//citations?hl=en&user=Lht1No4AAAAJ
53,Jianli Pan,https://scholar.google.com//citations?hl=en&user=l9QQeHgAAAAJ
54,Kevin Lybarger,https://scholar.google.com//citations?hl=en&user=vUJmY_IAAAAJ
55,Khondkar Islam,https://scholar.google.com//citations?hl=en&user=nr2d7qIAAAAJ
56,Lei Yang,https://scholar.google.com//citations?hl=en&user=UTTE_wEAAAAJ
57,Massimiliano Albanese,https://scholar.google.com//citations?hl=en&user=s6zNFvAAAAAJ
58,Michael Lyons,https://scholar.google.com//citations?hl=en&user=3VxBMOEAAAAJ
59,Mihai Boicu,https://scholar.google.com//citations?hl=en&user=SusWLtsAAAAJ
60,Myeong Lee,https://scholar.google.com//citations?hl=en&user=YgUbn0gAAAAJ
61,Ozlem Uzuner,https://scholar.google.com//citations?hl=en&user=jAZ90RIAAAAJ
62,Pouyan Ahmadi,https://scholar.google.com//citations?hl=en&user=zAY5e08AAAAJ
63,Sadegh Torabi,https://scholar.google.com//citations?hl=en&user=sHaylg0AAAAJ
64,Sharmin Sultana,https://scholar.google.com//citations?hl=en&user=oXtwiM0AAAAJ
65,Sherif Hashem,https://scholar.google.com//citations?hl=en&user=KKIju5kAAAAJ
66,Vivian Genaro Motti,https://scholar.google.com//citations?hl=en&user=MHEqjDYAAAAJ
67,Xiaonan Guo,https://scholar.google.com//citations?hl=en&user=4fkyrCIAAAAJ
68,Zhisheng Yan,https://scholar.google.com//citations?hl=en&user=i6ePuTMAAAAJ
69,Aiyoub Abbaspour,https://scholar.google.com//citations?hl=en&user=LqC_3GIAAAAJ
70,Burak Tanyu,https://scholar.google.com//citations?hl=en&user=Ilr0xPcAAAAJ
71,David Lattanzi,https://scholar.google.com//citations?hl=en&user=AM-EsHkAAAAJ
72,Mohan Venigalla,https://scholar.google.com//citations?hl=en&user=--x7tdkAAAAJ
73,Wenying Ji,https://scholar.google.com//citations?hl=en&user=E2miQxYAAAAJ
74,Girum Urgessa,https://scholar.google.com//citations?hl=en&user=1Q88P2AAAAAJ
75,Kuo Tian,https://scholar.google.com//citations?hl=en&user=DDlxfpsAAAAJ
76,Shanjiang Zhu,https://scholar.google.com//citations?hl=en&user=U7LGKH0AAAAJ
77,Viviana Maggioni,https://scholar.google.com//citations?hl=en&user=wbMYv7YAAAAJ
78,Cameron Nowzari,https://scholar.google.com//citations?hl=en&user=CcS83CIAAAAJ
79,Bernd-Peter Paris,https://scholar.google.com//citations?hl=en&user=HrlyUK4AAAAJ
80,Bijan Jabbari,https://scholar.google.com//citations?hl=en&user=JNnAAS4AAAAJ
81,Jens-Peter Kaps,https://scholar.google.com//citations?hl=en&user=kAMmzhsAAAAJ
82,Nathalia Peixoto,https://scholar.google.com//citations?hl=en&user=JMTPOnQAAAAJ
83,Yariv Ephraim,https://scholar.google.com//citations?hl=en&user=_t8HqkYAAAAJ
84,Jill Nelson,https://scholar.google.com//citations?hl=en&user=8zxSGcgAAAAJ
85,Kai Zeng,https://scholar.google.com//citations?hl=en&user=ErabYRMAAAAJ
86,Maryam Parsa,https://scholar.google.com//citations?hl=en&user=j8duWkwAAAAJ
87,Monson Hayes,https://scholar.google.com//citations?hl=en&user=rmCtisEAAAAJ
88,Ningshi Yao,https://scholar.google.com//citations?hl=en&user=uwTdsxEAAAAJ
89,Ping Xu,https://scholar.google.com//citations?hl=en&user=jipCnYIAAAAJ
90,Qiliang Li,https://scholar.google.com//citations?hl=en&user=D7ccRiIAAAAJ
91,Tolga Soyata,https://scholar.google.com//citations?hl=en&user=QnRaxS0AAAAJ
92,Weiwen Jiang,https://scholar.google.com//citations?hl=en&user=62oDIG4AAAAJ
93,Xuan Wang,https://scholar.google.com//citations?hl=en&user=ZA2jIPYAAAAJ
94,Ali Raz,https://scholar.google.com//citations?hl=en&user=dVMdGAQAAAAJ
95,John Shortle,https://scholar.google.com//citations?hl=en&user=Ilu__agAAAAJ
96,Karla Hoffman,https://scholar.google.com//citations?hl=en&user=Emobl-IAAAAJ
97,Lance Sherry,https://scholar.google.com//citations?hl=en&user=vYuc5OYAAAAJ
98,Ran Ji,https://scholar.google.com//citations?hl=en&user=bm1nLksAAAAJ
99,Vadim Sokolov,https://scholar.google.com//citations?hl=en&user=A5HXf0IAAAAJ
100,Edward Huang,https://scholar.google.com//citations?hl=en&user=siFVeP0AAAAJ
101,Janis Terpenny,https://scholar.google.com//citations?hl=en&user=hw9f1e0AAAAJ
102,Jie Xu,https://scholar.google.com//citations?hl=en&user=RGpMVzQAAAAJ
103,Paulo Costa,https://scholar.google.com//citations?hl=en&user=2vE_NmMAAAAJ
104,Rajesh Ganesan,https://scholar.google.com//citations?hl=en&user=S6MvM_UAAAAJ
105,Rochelle Jones,https://scholar.google.com//citations?hl=en&user=ahnZcnMAAAAJ
106,Shima Mohebbi,https://scholar.google.com//citations?hl=en&user=78016nUAAAAJ
107,Shou Matsumoto,https://scholar.google.com//citations?hl=en&user=2ukan3AAAAAJ
108,Tianshu Feng,https://scholar.google.com//citations?hl=en&user=Kg8wOK8AAAAJ
109,Ahmed Bashatah,https://scholar.google.com//citations?hl=en&user=E6GWsYUAAAAJ
110,Bengt Ljungquist,https://scholar.google.com//citations?hl=en&user=4q5UwocAAAAJ
111,Diek Wheeler,https://scholar.google.com//citations?hl=en&user=PO3rcCkAAAAJ
112,Juan Cebral,https://scholar.google.com//citations?hl=en&user=Q787eMAAAAAJ
113,Vasiliki Ikonomidou,https://scholar.google.com//citations?hl=en&user=JBGXmQUAAAAJ
114,Eugene Kim,https://scholar.google.com//citations?hl=en&user=dU_LwwsAAAAJ
115,Holger Dannenberg,https://scholar.google.com//citations?hl=en&user=Aql3LfIAAAAJ
116,Qi Wei,https://scholar.google.com//citations?hl=en&user=SjgZ5ggAAAAJ
117,Quentin Sanders,https://scholar.google.com//citations?hl=en&user=I2-zlasAAAAJ
118,Remi Veneziano,https://scholar.google.com//citations?hl=en&user=d2gb5vkAAAAJ
119,Siddhartha Sikdar,https://scholar.google.com//citations?hl=en&user=a6h285MAAAAJ
120,Suman Alishetty,https://scholar.google.com//citations?hl=en&user=gsZHl50AAAAJ
121,Ali Beheshti,https://scholar.google.com//citations?hl=en&user=59hB3jwAAAAJ
122,Colin Reagle,https://scholar.google.com//citations?hl=en&user=c8jjG7oAAAAJ
123,Daigo Shishika,https://scholar.google.com//citations?hl=en&user=cJuzICEAAAAJ
124,Shaghayegh Bagheri,https://scholar.google.com//citations?hl=en&user=KX9_X24AAAAJ
125,Pei Dong,https://scholar.google.com//citations?hl=en&user=Bz4c55IAAAAJ
126,Pilgyu Kang,https://scholar.google.com//citations?hl=en&user=Mcuwu0UAAAAJ
127,Robert Handler,https://scholar.google.com//citations?hl=en&user=7FvOwPIAAAAJ
128,Van Jones,https://scholar.google.com//citations?hl=en&user=KwofXgEAAAAJ
129,Duminda Wijesekera,https://scholar.google.com//citations?hl=en&user=mL6lVzIAAAAJ
130,Linghan Zhang,https://scholar.google.com//citations?hl=en&user=hoRDPfEAAAAJ
131,Md Tanvir Arafin,https://scholar.google.com//citations?hl=en&user=8NqlrnUAAAAJ
132,Mingkui Wei,https://scholar.google.com//citations?hl=en&user=RYrtR9kAAAAJ
133,Moinul Hossain,https://scholar.google.com//citations?hl=en&user=qQicLcMAAAAJ
134,Naveen Naik Sapavath,https://scholar.google.com//citations?hl=en&user=8e-ae7kAAAAJ
135,Jim X. Chen,https://scholar.google.com//citations?hl=en&user=929ovoAAAAAJ
136,Thomas D. LaToza,https://scholar.google.com//citations?hl=en&user=200KNLAAAAAJ
137,Evgenios M. Kornaropoulos,https://scholar.google.com//citations?hl=en&user=2s0r_AkAAAAJ
138,Gregory J. Stein,https://scholar.google.com//citations?hl=en&user=4djS86UAAAAJ
139,Katherine (Raven) Russell,https://scholar.google.com//citations?hl=en&user=dz00j-wAAAAJ
140,Lannan Lisa Luo,https://scholar.google.com//citations?hl=en&user=JPXjw04AAAAJ
141,Harry J Foxwell,https://scholar.google.com//citations?hl=en&user=1OvLb-YAAAAJ
142,Hoda Mamdouh Abdel Ghafour Hassan,https://scholar.google.com//citations?hl=en&user=gmnF_GwAAAAJ
143,Omoche Cheche Agada,https://scholar.google.com//citations?hl=en&user=8yTHUVsAAAAJ
144,Sungsoo Ray Hong,https://scholar.google.com//citations?hl=en&user=D5bxMHYAAAAJ
145,Kirin Emlet Furst,https://scholar.google.com//citations?hl=en&user=X075zj0AAAAJ
146,Lucas RF Henneman,https://scholar.google.com//citations?hl=en&user=IL-s1LkAAAAJ
147,Ossama “Sam” Salem,https://scholar.google.com//citations?hl=en&user=zNtfT2YAAAAJ
148,Brian L. Mark,https://scholar.google.com//citations?hl=en&user=RgyjYZgAAAAJ
149,Khaled N. Khasawneh,https://scholar.google.com//citations?hl=en&user=GEZeHMEAAAAJ
150,Xiang 'Shawn' Chen,https://scholar.google.com//citations?hl=en&user=QEdR90AAAAAJ
151,Caroline D Hoemann,https://scholar.google.com//citations?hl=en&user=Iug7w3IAAAAJ
152,Giorgio A. Ascoli,https://scholar.google.com//citations?hl=en&user=Qq5H3-QAAAAJ
153,Kim T. Blackwell,https://scholar.google.com//citations?hl=en&user=V1CNe94AAAAJ
154,Parag V. Chitnis,https://scholar.google.com//citations?hl=en&user=kVkXPvIAAAAJ
155,Shani E Ross,https://scholar.google.com//citations?hl=en&user=BCsUkXMAAAAJ
156,Jeffrey L. Moran,https://scholar.google.com//citations?hl=en&user=bSPLG-0AAAAJ
157,Isaac K. Gang,https://scholar.google.com//citations?hl=en&user=0B-N2cwAAAAJ
158,Mohamed I. Ibrahem,https://scholar.google.com//citations?hl=en&user=uXaXACEAAAAJ
159,Vijay K. Shah,https://scholar.google.com//citations?hl=en&user=yg3VvyEAAAAJ
