,Doc_ID,Name,descriptions,titles,date,source,citations,Location
16118,16118,ahmed bashatah,background although surface electromyography commonly used sensing strategy upper limb prostheses remains difficult reliably decode recorded signals controlling multiarticulated hands sonomyography ultrasoundbased sensing muscle deformation overcomes issues allows individuals upper limb loss reliably perform multiple motion patterns purposes study determine effect training classification performance sonomyographic control effect training underlying muscle deformation patterns,individuals upper limb loss require minimal training achieve robust motion classification using sonomyography,9/9/2020,description background although surface electromyography commonly used sensing strategy upper limb prostheses remains difficult reliably decode recorded signals controlling multiarticulated hands sonomyography ultrasoundbased sensing muscle deformation overcomes issues allows individuals upper limb loss reliably perform multiple motion patterns purposes study determine effect training classification performance sonomyographic control effect training underlying muscle deformation patterns series motion pattern datasets collected five individuals transradial limb loss dataset contained five ultrasound images corresponding following five motions power grasp wrist pronation key grasp tripod point participants initially performed motions datasets without receiving feedback performance baseline phase visual verbal feedback feedback phase finally without feedback retention phase crossvalidation accuracy metrics describing consistency separability muscle deformation patters computed dataset changes classification performance course study assessed using linear mixed models associations classification performance consistency separability metrics evaluated using pearson correlations results average crossvalidation accuracy phase greater significant,N/A,Google Scholar
16119,16119,ahmed bashatah,objectives diffuse reverberation significant source image degradation abdominal ultrasound clutter induced reverberation often considered spatially incoherent nearest element correlation backscatter signals provides robust measure incoherent clutter recently presented lagone spatial coherence adaptive normalization image formation technique adaptively compensates snr loss due incoherent clutter present vivo loscan images obtained matrix array explore benefits clutter reduction,uitc abstracts,"objectives: diffuse reverberation is a significant source of image degradation in abdominal ultrasound. clutter induced by reverberation is often considered to be spatially incoherent. the nearest element correlation of backscatter signals provides a robust measure of such incoherent clutter [1]. we recently presented lag-one spatial coherence adaptive normalization (loscan)[2], an image formation technique that adaptively compensates for the snr loss due to incoherent clutter. here, we present in vivo loscan images obtained with a 1024-element matrix array and explore the benefits of 2d clutter reduction.methods: we developed a 2d loscan framework applicable to matrix arrays. we validated this framework using field ii-simulated cyst phantoms of varying native contrasts and channel snr, with a modeled 64x64 symmetric 2d array. using these simulated data, we studied the impact of partially correlated noise (pcn) with controlled spatial correlation lengths (1λ to 3λ). sub-aperture beamforming and a short-lag version of loscan were explored as strategies to circumvent the pcn-induced contrast loss. we also acquired experimental data using a custom 64x16 2d array connected to a 1024-channel verasonics system. we acquired fundamental and harmonic channel data from the liver of two healthy volunteers and performed 2d spatial coherence-based clutter analysis.results: compared to b-mode imaging, matrix loscan preserved the native contrast and improved the lesion detectability, measured with the generalized contrast-to-noise ratio (gcnr), over a wider range of channel snr. in vivo observations demonstrated the …",scholar articles uitc abstracts ahmed n bottenus j long bradway g traheyrelated articles,N/A,Google Scholar
16120,16120,ahmed bashatah,methods,resna annual,"methodsa total of ten naive, able-bodied individuals (mean age: 29 4 years; five male) were recruited and provided written informed consent for this study. nine of the participants reported being right-handed. all experiments in this work were approved by the george mason university institutional review board.",scholar articles resna annual patwardhan engdahl b mukherjee articles,N/A,Google Scholar
16121,16121,bengt ljungquist,high digital connectivity focus reproducibility contributing open science revolution neuroscience repositories platforms emerged across whole spectrum subdisciplines paving way paradigm shift way share analyze reuse vast amounts data collected across many laboratories describe open access webbased tools changing landscape culture neuroscience highlighting six free resources span subdisciplines behavior wholebrain mapping circuits neurons gene variants,highlights era open source webbased tools,2/3/2021,source journal neuroscience,12,Google Scholar
16122,16122,bengt ljungquist,still unclear extent common animal models pain analgesia based indirect measures nocifensive behaviours provide valid measures pain perception,discrepancies cortical behavioural readouts hyperalgesia awake freely moving rats,2016/11,journal european journal pain,7,Google Scholar
16123,16123,bengt ljungquist,functions nervous system depend neuronal glial morphology continuous advances microscopic imaging tracing software provided increasingly abundant availability reconstructions arborizing dendrites axons processes allowing detailed study however efficient largescale methods rank neural morphologies similarity archetype still lacking using neuromorphoorg database present similarity search software enabling fast morphological comparison hundreds thousands neural reconstructions species brain regions cell types preparation protocols compared performance different morphological measurements summary morphometrics calculated lmeasure persistence vectors vectorized descriptor branching structure combination two cases also investigated,large scale similarity search across digital reconstructions neural morphology,8/1/2022,journal neuroscience research,6,Google Scholar
16124,16124,bengt ljungquist,advancements neuroscience research led steadily accelerating data production sharing online community repository neural reconstructions neuromorphoorg grew fewer digitally traced neurons cells today including glia constitute content every reconstruction consists detailed representation branch geometry connectivity standardized format collection morphometric features extracted stored moreover entry database accompanied rich metadata annotation describing animal subject anatomy experimental details rapid expansion resource past decade accompanied parallel rise complexity available information creating opportunities challenges knowledge mining introduce new summary,efficient metadata mining webaccessible neural morphologies,1/1/2022,source progress biophysics molecular biology,6,Google Scholar
16125,16125,bengt ljungquist,developing commercial software products crucial select right requirements right release short meantimetomarket mttm order competitive report simulation model marketdriven requirements engineering processes requirements selection quality key aspect simulator built using open source simulation framework evaluation framework provided simulator enables investigation mttm affected variations internal external process parameters results indicate beneficial put resources requirements screening phase reduces risk process overload,investigation requirements selection quality marketdriven software processes using open source discrete event simulation framework,2004,journal proceedings international workshop software process simulation modeling prosim stevenage uk,5,Google Scholar
16126,16126,bengt ljungquist,recent neuroscientific technical developments brain machine interfaces put increasing demands neuroinformatic databases data handling software especially managing data real time large numbers neurons extrapolating developments set construct scalable software architecture would enable nearfuture massive parallel recording organization analysis neurophysiological data standard computer end combined first time present context bitencoding spike data specific communication format real time transfer storage neuronal data synchronized common time base across unit sources demonstrate architecture simultaneously handle data one million neurons provide real time ms feedback based analysis previously recorded,bitencoding based new data structure time memory efficient handling spike times electrophysiological setup,2018/4,journal neuroinformatics,4,Google Scholar
16127,16127,bengt ljungquist,present framework based object orientation novel principles store analyze integrate electrophysiological data principles using decorator pattern storing analysis data object model ii using core classes data structure integration mediation service bus architecture iii choosing single unit finest structure object model principles address problems relate analysis data original electrophysiological data utilizing design patterns integrate data different data sources application organization levels avoiding performance problems choosing correct level object granularity data,novel framework storage analysis integration mediation largescale electrophysiological data,4/27/2011,conference international ieeeembs conference neural engineering,3,Google Scholar
16128,16128,bengt ljungquist,N/A,spike feature stability longterm recordings,2010,conference annual meeting society neuroscience,1,Google Scholar
16129,16129,bengt ljungquist,neuromorpho org online repository provides digital neuronal reconstructions associated metadata laboratories around world diverse user base resource includes neuroscience professionals researchers educators also groups artists general public previously difficult connect mobile device due lack suitable interface development mobile application better able support usage less technically versed users however also serve tool researchers quickly look data go complementary interface standard computer general utilizing react library expo client develop test application efficiently built interface friendly android ios users,developing mobile interface neuromorpho org,11/19/2019,journal journal studentscientists research,N/A,Google Scholar
16130,16130,bengt ljungquist,N/A,bitcoding brain integration organization massive parallel neuronal data,2018,volume,N/A,Google Scholar
16131,16131,bengt ljungquist,N/A,examinationsformers inverkan p  kvalitet utbildningen,1/25/2013,journal project reportsgenombrottet lth,N/A,Google Scholar
16132,16132,bengt ljungquist,N/A,distributed lightweight database organization electrophysiological data,2012,conference annual meeting society neuroscience,N/A,Google Scholar
16133,16133,bengt ljungquist,purpose safety systems reduce dangers human life environment acceptable levels order aid companies developing safety systems functional safety machinery standard iec recently released standard proposes outlined design method follow requirements specification however companies use standard implement design method paper presents implementation enhancements design method terms using state machines function block analysis documentation state machine connects functional safety requirements ordinary behaviour equipment control proposed method evaluated industrial case main results indicate method works well needs tool support hence paper presents requirements tool,iec compliant safety system design method machinery,2005,conference computer safety reliability security international conference safecomp fredrikstad norway september proceedings,N/A,Google Scholar
16134,16134,bengt ljungquist,result development field brain machine interfaces bmi continuously increasing number neurons awake brain may recorded simultaneously long periods time led major challenges handling amount neuronal data recordings thesis show address challenges enabling organization integration large amounts data direct analysis real time storing later analysis online paper present software architecture organizing integrating electrophysiological data using object model data together service oriented architecture data integration paper ii presents findings providing direct evidence chronic recordings primary somatosensory cortex awake animals offer powerful much sought translational model perception pain magnitude hyperalgesia superior previously used behavioral models evaluation pain conditions principles paper applied order enable faster comparisons groups data paper iii describes computationally highly efficient novel data structure using bit encoding action potentials single neurons together software architecture handling sources data parallel example different groups electrodes show enables collecting analyzing signals millions neurons possibly providing direct feedback recorded brain real time,bitcoding brain,"as a result of the development in the field of brain machine interfaces (bmi), a continuously increasing number of neurons in the awake brain may be recorded from simultaneously over long periods of time. this has led to major challenges in handling the amount of neuronal data from these recordings. in this thesis, we show how to address these challenges by enabling organization and integration of large amounts of data, for both direct analysis in real time and for storing for later analysis online. in paper i, we present a software architecture for organizing and integrating electrophysiological data by using an object model for the data together with a service oriented architecture for data integration. paper ii presents findings providing direct evidence that chronic recordings in primary somatosensory cortex in awake animals can offer a powerful, and much sought for, translational model of the perception of pain magnitude during hyperalgesia, superior to previously used behavioral models for evaluation of pain conditions. principles from paper i are applied, in order to enable faster comparisons between groups of data. paper iii describes a computationally highly efficient novel data structure using bit encoding for action potentials from single neurons, together with a software architecture for handling sources of data in parallel, for example from different groups of electrodes. we show how this enables collecting and analyzing signals from millions of neurons and then possibly providing direct feedback to the recorded subject’s brain in real time.",scholar articles bitcoding brainb ljungquistrelated articles versions,N/A,Google Scholar
16135,16135,bengt ljungquist,software process simulation research field lately received increasing attention empirical studies may used elicit model captures behaviour studied process according measurement data model may run simulating possible improvement scenarios studied software process thus providing analysis scenarios order validate model metrics capturing result software process improvement may compared model predicted gap prediction reality validation would lead feedback model model turns capture internal dynamics process correctly model predictions may trusted greater extent increased credibility,increased understanding relation requirements engineering process software product quality simulation,"software process simulation is research field which lately have received increasing attention. empirical studies may be used to elicit a model that captures behaviour of the studied process according to measurement data. the model may then be run, simulating possible improvement scenarios of the studied software process and thus providing “what-if” analysis for these scenarios. in order to validate the model, metrics capturing the result of a software process improvement may be compared to what the model predicted. the gap between prediction and reality from this validation would lead to feedback on the model. if the model turns out to capture the internal dynamics of the process correctly, the model predictions may be trusted to a greater extent, having increased credibility.",scholar articles increased understanding relation requirements engineering process software product quality simulationb ljungquistrelated articles,N/A,Google Scholar
16136,16136,david kepplinger,paper makes cross country analysis energy intensity manufacturing sectors empirical data purpose gathered databases two international agencies namely iea international energy agency unido un international development organization provide energy consumption manufacturing output data respectively,analysis energy intensity manufacturing industry using mixedeffects models,9/15/2013,journal energy,52,Google Scholar
16137,16137,david kepplinger,supplementary material elastic net estimators variable selection identification proteomic provide additional details pense algorithm properties mathematical proofs,robust elastic net estimators variable selection identification proteomic biomarkers,12/1/2019,volume   ,20,Google Scholar
16138,16138,david kepplinger,N/A,industrial development matters wellbeing population statistical evidence,2014,journal vienna unido,12,Google Scholar
16139,16139,david kepplinger,genetic algorithms widely used method chemometrics extracting variable subsets high prediction power fitness measures used genetic algorithms based ordinary leastsquares fit resulting model entire data subset thereof due multicollinearity partial least squares regression often appropriate rarely considered genetic algorithms due additional cost estimating optimal number components introduce two novel fitness measures genetic algorithms explicitly designed estimate internal prediction performance partial least squares regression models built variable subsets measures estimate optimal number components using crossvalidation subsequently estimate prediction performance predicting response observations included modelfitting repeated multiple times estimate measures variations due different random splits moreover one measure optimized speed accurate estimation prediction performance observations included variable selection leads variable subsets high internal external prediction power results highdimensional chemicalanalytical data show variable subsets acquired approach competitive internal prediction power superior external prediction power compared variable subsets extracted fitness measures,variable selection genetic algorithms using repeated crossvalidation pls regression models fitness measure,11/17/2017,journal arxiv preprint,5,Google Scholar
16140,16140,david kepplinger,penalized regression estimators widely used recent years improve prediction properties linear models particularly number explanatory variables large wellknown different penalties result regularized estimators varying statistical properties motivated analysis plasma proteomic biomarkers tend form groups correlated predictors focus estimators elastic net penalty order keep groups variables together enter leave model given presence potential outliers data propose class penalized sestimators good robustness properties furthermore penalized sestimators used initial values compute efficient penalized mestimators paper derive algorithm compute proposed estimators also datadriven method select penalty term critical part application real data robust penalized estimators good robustness properties also consistent relatively weak assumptions numerical experiments show proposals compare favourably robust penalized estimators applied motivating example robust estimators identify new potentially relevant biomarkers found nonrobust alternatives moreover robust estimators identify two patients suspected low obstruction artery examined measurements accurate technique validated predictions,pense penalized elastic net sestimator,10/26/2017,description penalized regression estimators widely used recent years improve prediction properties linear models particularly number explanatory variables large wellknown different penalties result regularized estimators varying statistical properties motivated analysis plasma proteomic biomarkers tend form groups correlated predictors focus estimators elastic net penalty order keep groups variables together enter leave model given presence potential outliers data propose class penalized sestimators good robustness properties furthermore penalized sestimators used initial values compute efficient penalized mestimators paper derive algorithm compute proposed estimators also datadriven method select penalty term critical part application real data robust penalized estimators good robustness properties also consistent relatively weak assumptions numerical experiments show proposals compare favourably robust penalized estimators applied motivating example robust estimators identify new potentially relevant biomarkers found nonrobust alternatives moreover robust estimators identify two patients suspected low obstruction artery examined measurements accurate technique validated predictions,4,Google Scholar
16141,16141,david kepplinger,largescale quantitative proteomic studies scientists measure abundance hundreds thousands proteins human proteome search novel biomarkers given disease despite current innovations biomedical technologies advanced statistical computational methods still required harness rich information contained large complex datasets penalized regression estimators used identify potential biomarkers among large set molecular features wellknown performance statistical properties selected model depend loss penalty functions used construct regularized estimator example presence outlying observations data seriously affect classical estimators penalize square error loss function similarly choice penalty function estimators important able preserve groups correlated proteins selected model thus paper propose new class penalized robust estimators based elastic net penalty tuned keep groups correlated variables together enter leave model protecting resulting estimator possibly aberrant observations dataset robust penalized estimators good robustness properties also consistent relatively weak assumptions paper also propose efficient algorithm compute robust penalized estimators derive datadriven method select penalty term critical part application real data numerical experiments,proteomic biomarker study using novel robust penalized elastic net estimators,"the annals of applied statistics, submitted",description largescale quantitative proteomic studies scientists measure abundance hundreds thousands proteins human proteome search novel biomarkers given disease despite current innovations biomedical technologies advanced statistical computational methods still required harness rich information contained large complex datasets penalized regression estimators used identify potential biomarkers among large set molecular features wellknown performance statistical properties selected model depend loss penalty functions used construct regularized estimator example presence outlying observations data seriously affect classical estimators penalize square error loss function similarly choice penalty function estimators important able preserve groups correlated proteins selected model thus paper propose new class penalized robust estimators based elastic net penalty tuned keep groups correlated variables together enter leave model protecting resulting estimator possibly aberrant observations dataset robust penalized estimators good robustness properties also consistent relatively weak assumptions paper also propose efficient algorithm compute robust penalized estimators derive datadriven method select penalty term critical part application real data numerical experiments,3,Google Scholar
16142,16142,david kepplinger,linear regression models commonly used statistical models predicting response set predictors technological advances allow simultaneous collection many predictors often small number relevant prediction identifying set predictors highdimensional linear regression models emphasis accurate prediction thus common goal quantitative data analyses large number predictors promises capture much information possible bears risk containing contaminated values handled properly contamination affect statistical analyses lead spurious scientific discoveries jeopardizing generalizability findings dissertation propose robust regularized estimators sparse linear regression reliable prediction variable selection performance presence contamination response one predictors present theoretical extensive empirical results underscoring penalized elastic net sestimator robust towards aberrant contamination leads better predictions heavy tailed error distributions competing estimators especially challenging scenarios competing robust methods reliant auxiliary estimate residual scale affected contamination due high finitesample bias introduced regularization improved variable selection propose adaptive penalized elastic net sestimator show estimator identifies truly irrelevant predictors high probability sample size increases estimates parameters truly relevant,robust estimation variable selection highdimensional linear regression models,2020,institution university british columbia,1,Google Scholar
16143,16143,david kepplinger,quantitation proteins using shotgun proteomics gained popularity last decades simplifying sample handling procedures removing extensive protein separation steps achieving relatively high throughput readout process starts digestion protein mixture peptides separated liquid chromatography sequenced tandem mass spectrometry msms end workflow recovering identity proteins originally present sample often difficult ambiguous process one protein identifier may match set peptides identified msms spectra address identification problem many msms data processing software tools combine plausible protein identifiers matching common set peptides protein group however solution introduces new challenges studies multiple experimental runs characterized three main factors protein identifiers local ie vary run run ii composition group may change across runs iii supporting evidence proteins within group may also change across runs since general conclusive evidence absence proteins groups protein groups need linked across different runs subsequent statistical analyses propose algorithm called protein group code algorithm pgca link groups multiple experimental runs forming global protein groups connected local groups algorithm computationally inexpensive enables connection analysis lists,pgca algorithm link protein groups created msms data,5/31/2017,journal plos one,1,Google Scholar
16144,16144,david kepplinger,simple form makes linear discriminant analysis lda prevalent tool classification yet dependency estimate precision matrix major drawback many applications features observations available observations may contaminated impeding use simple tool regularization techniques sparse methods well known give good estimates precision matrix sample covariance matrix rankdeficient illconditioned however contamination also breaks methods borrowing ideas fastmcd algorithm robust multivariate location scale estimation robust regularized estimate precision matrix obtained used lda consideration classification context measure similar deviance measure used classification methods defined used obtain optimal value,discriminant analysis based robust regularized covariance estimation,2015,description simple form makes linear discriminant analysis lda prevalent tool classification yet dependency estimate precision matrix major drawback many applications features observations available observations may contaminated impeding use simple tool regularization techniques sparse methods well known give good estimates precision matrix sample covariance matrix rankdeficient illconditioned however contamination also breaks methods borrowing ideas fastmcd algorithm robust multivariate location scale estimation robust regularized estimate precision matrix obtained used lda consideration classification context measure similar deviance measure used classification methods defined used obtain optimal value,1,Google Scholar
16145,16145,david kepplinger,heavytailed error distributions predictors anomalous values ubiquitous highdimensional regression problems seriously jeopardize validity statistical analyses properly addressed reliable variable selection prediction adverse conditions adaptive pense new robust regularized regression estimator proposed adaptive pense yields reliable variable selection coefficient estimates even aberrant contamination predictors residuals shown adaptive penalty leads robust reliable variable selection penalties particularly presence gross outliers predictor space demonstrated adaptive pense strong variable selection properties possesses oracle property even heavytailed errors without need estimate error scale numerical studies,robust variable selection estimation via adaptive elastic net sestimators linear regression,3/1/2023,journal computational statistics data analysis,N/A,Google Scholar
16146,16146,david kepplinger,plants animals fungi display rich tapestry colors animals particular use colors dynamic displays performed spatially complex environments natural settings light reflected refracted objects complex shapes cast shadows generate highlights addition illuminating light changes continuously viewers targets move heterogeneous continually fluctuating light conditions although traditional spectrophotometric approaches studying colors objective repeatable fail document complexity worse miss temporal variation color signals entirely introduce hardware software provide ecologists filmmakers ability accurately record animalperceived colors motion specifically python codes transform photos videos perceivable units quantum catches animal known photoreceptor sensitivity provide plans codes validation tests necessary endusers capture animalview videos approach allow ecologists investigate animals use colors dynamic behavioral displays ways natural illumination alters perceived colors questions remained unaddressed due lack suitable tools finally pipeline provides scientists filmmakers new empirically grounded approach depicting perceptual worlds nonhuman animals,recording animalview videos natural world,2022,journal biorxiv,N/A,Google Scholar
16147,16147,david kepplinger,adaptive pense method used build models predicting clinical outcomes small subset potentially large number candidate proteins adaptive pense designed give reliable results two common challenges often encountered kinds studies number samples known clinical outcome proteomic data small number candidate proteins large andor proteomic data clinical outcome measurements suffer data quality issues small fraction samples even presence challenges adaptive pense reliably identifies proteins relevant prediction estimates accurate predictive models adaptive pense designed resilient data quality issues samples almost half samples could aberrant values measured protein levels clinical outcome values without,robust prediction protein selection adaptive pense,8/25/2021,book statistical analysis proteomic data methods tools,N/A,Google Scholar
16148,16148,david kepplinger,lemma let l set local groups file f ie l createlocalgroups f g set global groups dictionary b g let updatedictionary l output dictionary udpdatedictionary algorithm given b set accession numbers b b e e b global group nonempty connected ba,appendix pgca algorithm link protein groups created msms data,"lemma 1 let l be the set of local groups from a file f (ie, 4 l= createlocalgroups (f)), g be the set of global groups from a dictionary d, and 5 b= l∪ g. let d= updatedictionary (d, l) be the output dictionary from the 6 udpdatedictionary algorithm. given b, a set of accession numbers from those in b, and 7 a={e∈ b such that b∩ e= e}, b is a global group in d if and only if a is 8 non-empty and connected, and b∩ e=∅,∀ e∈ b\a. 9outline of proof lemma 1 10=⇒) if b is a global group in d, by step 9 in algorithm 3 in the main text, b resulted 11 from updating a local group b in b, and b can be written as the union of all sets in b 12 connected with b (including b). thus, by construction, these sets are included in b and 13 form a non-empty and connected set a. moreover, if b overlaps a set c not in a, then 14 c is connected with b (by b), which is a contradiction. 15⇐=) as a is non-empty and connected, then there exists a local group b∈ a, which, 16 updated by updatedictionary, became a global group b in d. it is sufficient to prove 17 that b= b. by construction, b can be written as the union of all sets in b connected 18 with b (including b). as b is included b, any set e in b connected with b must also be 19 connected with b. moreover, as sets overlapping with b must be included in b, e∈ a, 20 implying that b⊆ b. moreover, all sets in a are connected and thus connected with b. 21 as b can be written as the union of all sets in a, then b⊆ b. this proves that b= b 22 is a global group in d.■ 23",scholar articles appendix pgca algorithm link protein groups created msms datad kepplinger takhar sasaki z,N/A,Google Scholar
16149,16149,david lattanzi,order minimize costs risks disruptions associated structural inspections robotic systems increasingly studied enhancement current inspection practices combined increasing variety commercially available robots last two decades seen dramatic growth application systems use systems spans breadth civil infrastructure works variety implemented robotic systems growing rapidly however highly interdisciplinary nature research field means results disseminated across broad variety publications review paper aggregates studies effort distill state art inspection robotics well assess outstanding challenges field possibilities future overall analysis studies illustrates design inspection robots often casespecific,review robotic infrastructure inspection systems,9/1/2017,source journal infrastructure systems,172,Google Scholar
16150,16150,david lattanzi,unmanned aerial vehicles uav viable option augmenting bridge inspections utilising integrated combination uav computer vision decrease costs expedite inspections facilitate bridge access inspection must consider design uav choice cameras data acquisition geometrical resolution safety regulations pilot protocols placer river trail bridge alaska recently served test bed uav inspection methodology integrates considerations end goal produce threedimensional model bridge using uavcaptured images hierarchical dense structurefrommotion algorithm maximise quality model benefits inspectors goal guided uav design mission planning resulting inspection methodology integrates uav design data capture data analysis together,unmanned aerial vehicle inspection placer river trail bridge imagebased modelling,1/2/2018,journal structure infrastructure engineering,161,Google Scholar
