,Doc_ID,Name,descriptions,titles,date,source,citations,Location
18203,18203,hoda hassan,business process modeling notation is used by business modelers to model business processes logic and artifacts however it is inadequate in expressing the execution semantics of business processes and takes a processoriented approach for modeling systems uml on the other hand is known for its expressiveness to present the objectoriented approach for modeling softwarebased system there is a rising need to transform business process models to flawless uml models this paper proposes a modeling transformation technique for transforming a business processmodeling notation model to different uml diagrams using coloured petri nets cpn as a formal intermediate step to ensure flawless transformation this transformation would allow modeler to take advantages of the presentation power in bpmn as well as the implementation power in uml furthermore this step will bridge the gap between the different modeling notations previously mentioned,transformation of coloured petri nets to uml 2 diagrams,15-Apr-14,N/A,N/A,LinkedIn Publication
18204,18204,hoda hassan,complex networks are seen in different real life disciplines they are characterized by a scalefree powerlaw degree distribution a small average path length small world phenomenon a high average clustering coefficient and the emergence of community structure most proposed complex networks models did not incorporate all of the four common properties of complex networks models have also neglected incorporating the heterogeneous nature of network nodes in this paper we propose two generation models for heterogeneous complex networks we introduce the integrated attribute similarity model iasm iasm uses preferential attachment to connect nodes based on their attributes similarities integrated with nodes structural popularity normalized degree or eigen vector centrality iasm proposed model is modified to increase their clustering coefficient using a triad formation step,iasm an integrated attribute similarity for complex networks generation,1-Feb-14,N/A,N/A,LinkedIn Publication
18205,18205,hoda hassan,the everincreasing dependence on the internet is challenged by several factors impeding the smooth transition to the nomadic and ubiquitous future communications these hindering factors are primarily attributed to the topdown approach in designing computer networks that resulted in adopting a layered architecture for abstracting network functionalities as well as for engineering protocols a methodology that proved to be neither adaptable nor evolvable in response to changes in network operational requirements and technological advancements this paper presents a bottomup strategy for designing computer networks through i the formalization of network design core principles ii the derivation of a conceptual framework for network concerns and a structural model for network building elements inspired by natural complex systems thus introducing the network cell which is the network elementary building block intrinsically capable of specialization adaptation and evolution and iii finally a cellbased network realization cellbased network adaptation capabilities are evaluated through simulations results show the awareness of hdp and tcp to path delays and the possibility of tweaking their operation accordingly,cellnet a bottomup approach to network design,1-Dec-09,N/A,N/A,LinkedIn Publication
18206,18206,hoda hassan,the layered internet architecture that had long guided network design and protocol engineering was an interconnection architecture defining a framework for interconnecting networks rather than a model for generic network structuring and engineering we claim that the approach of abstracting the network in terms of an internetwork hinders the thorough understanding of the network salient characteristics and emergent behavior resulting in impeding design evolution required to address extreme scale heterogeneity and complexity this paper reports on our work in progress that aims to 1 investigate the problem space in terms of the factors and decisions that influenced the design and development of computer networks 2 sketch the core principles for designing complex computer networks and 3 propose a model and related framework for building evolvable adaptable and self organizing networks we will adopt a bottom up strategy primarily focusing on the building unit of the network model which we call the network cell the model is inspired by natural complex systems a network cell is intrinsically capable of specialization adaptation and evolution subsequently we propose cellnet a framework for evolvable network design we outline scenarios for using the cellnet framework to enhance legacy internet protocol stack,towards a framework for evolvable network design,1-Nov-09,N/A,N/A,LinkedIn Publication
18207,18207,hoda hassan,the layered architecture that guided the design of the internet is deemed inadequate as a reference model for engineering protocols for ngn layered protocol suites impose a strict sequential order on protocol execution conflicting with the efficient engineering of end systems as well as failing to express vertical functional integration the separation of control and data planes and the distributed nature of network functions furthermore protocols developed according to the layered architecture are implemented as monolithic blocks with undefined or implicit dependencies lacking flexibility to adapt to changing application requirements we claim that ngn architecture design should be dual faceted along a vertical and a horizontal dimension the vertical dimension addresses complexity at a network node by abstracting the communication functionality into several components and defining component interactions while the horizontal dimension addresses the distributed nature of the network abstracting network links into communication paths and defining procedures for creating maintaining as well as exchanging data between different network components along these paths we propose a preliminary network architecture based on component federation we focus on the vertical decomposition of the communication functions and their interactions considering the distributed consequences of these interactions along the horizontal dimension of the network,towards a federated network architecture,1-Apr-08,N/A,N/A,LinkedIn Publication
18208,18208,hoda hassan,this paper presents an implementation of an intrusion detection system ids aiming to secure the aodv protocol designed for manet the ids is designed as multiple static agents that run on a subset of the nodes in the network and executes a monitoring protocol that observes the process of route establishment the monitoring protocol uses specification based intrusion detection to identify misuses to the routing messages the ids design is a correlation of previous work done in the field of manet security the ids is implemented using ns2 simulator and its ability to detect attacks was tested using previously devised attack scripts detailed specification for the runtime behavior of the aodv protocol was derived in the process of implementation,securing the aodv protocol using specificationbased intrusion detection,1-Oct-06,N/A,N/A,LinkedIn Publication
18209,18209,hoda hassan,N/A,a reference model for future computer networks,The Eleventh International Conference on Network ICN 2012,N/A,N/A,LinkedIn Publication
18210,18210,hoda hassan,N/A,corm a concernoriented reference model for future computer network,"Book Chapter, IGI Global (to be published 2012)",N/A,N/A,LinkedIn Publication
18211,18211,hoda hassan,N/A,corm a reference model for future computer networks,"Journal of Network and Computer Applications, Elsevier (To be published 2012).",N/A,N/A,LinkedIn Publication
18212,18212,ye wang,N/A,yes poem,1-Jul-18,N/A,N/A,LinkedIn Publication
18213,18213,aiyoub abbaspour,N/A,evaluation of the use of crushed hydraulic cement concrete chcc as an additive to base coursesubbase material,1-Jan-18,N/A,N/A,LinkedIn Publication
18214,18214,aiyoub abbaspour,N/A,methodology to evaluate hydraulic compatibility of geotextile and rca in underdrain systems,1-Jan-18,N/A,N/A,LinkedIn Publication
18215,18215,aiyoub abbaspour,N/A,impact of aging on leaching characteristics of recycled concrete aggregate,1-Jan-16,N/A,N/A,LinkedIn Publication
18216,18216,aiyoub abbaspour,N/A,reinforcement vertical spacing research,1-Jan-16,N/A,N/A,LinkedIn Publication
18217,18217,aiyoub abbaspour,N/A,stockpiling recycled concrete aggregate changes in physical properties and leachate characteristics due to carbonation and aging,1-Jan-16,N/A,N/A,LinkedIn Publication
18218,18218,aiyoub abbaspour,N/A,seismic performance of geosyntheticencased stone columns,1-Jan-14,N/A,N/A,LinkedIn Publication
18219,18219,aiyoub abbaspour,isbn 9789649750521 in farsi,structural design in architecture,1-Jan-09,N/A,N/A,LinkedIn Publication
18220,18220,aiyoub abbaspour,in farsi,a study on seismic deformation of upper san fernando dam with using basic elasticplastic soil behavior models,1-Jan-07,N/A,N/A,LinkedIn Publication
18221,18221,aiyoub abbaspour,N/A,case study instrumentation of a hybrid mse wall system with up to 2 m vertical spacing between reinforcements,Proc. GeoAmericas 2016,N/A,N/A,LinkedIn Publication
18222,18222,kirin furst,N/A,disinfection byproducts in rajasthan india are trihalomethanes a sufficient indicator of disinfection byproduct exposure in lowincome countries,1-Sep-19,N/A,N/A,LinkedIn Publication
18223,18223,kirin furst,nnitrosodimethylamine ndma an important contaminant for potable reuse of municipal wastewater forms from reactions of dichloramine and amine precursors injection of concentrated free chlorine stock solutions into wastewaters containing low levels of ammonia can promote ndma formation because the high chlorineammonia ratio at the point of chlorine injection fosters dichloramine formation during mixing this study combined chemical kinetic modeling laboratory mixing studies using deionized water and authentic wastewater effluents and a pilotscale disinfectant contactor at a wastewater reuse facility to demonstrate that the distribution of the injection of concentrated hypochlorite stock solutions can reduce the level of ndma formation by 50 compared to injection at a single location modeling and deionized water experiments indicated that this reduction was associated with a reduction in the level of dichloramine formation,distributed chlorine injection to minimize ndma formation during chloramination of wastewater,5-Jun-18,N/A,N/A,LinkedIn Publication
18224,18224,kirin furst,treatment of fully nitrified municipal wastewater effluents with chlorine followed by chloramines ie sequential chlorine disinfection upstream of advanced treatment trains can contribute pathogen inactivation credits for potable reuse while leaving a chloramine residual to control biofouling on membrane units in the advanced treatment train however free chlorine exposures must be optimized to maximize pathogen inactivation while minimizing the formation of disinfection byproducts dbps that are challenging to remove in the advanced treatment train the results of this study indicate that sequential chlorination can be used to optimize the benefits of free chlorine virus and ndma control and chloramine disinfection thm haa and coliform control,tradeoffs between pathogen inactivation and disinfection byproduct formation during sequential chlorine and chloramine disinfection for wastewater reuse,31-May-18,N/A,N/A,LinkedIn Publication
18225,18225,kirin furst,2nd edition under contract crc taylor francis 2019,we can do it a problem solving graphic novel guide for general physics,2-Oct-15,N/A,N/A,LinkedIn Publication
18226,18226,ting zhang,N/A,maryland family and medical leave insurance famli five independent and interrelated analytical studies,1-Dec-22,N/A,N/A,LinkedIn Publication
18227,18227,ting zhang,N/A,digital exposure age and entrepreneurship,20-Apr-22,N/A,N/A,LinkedIn Publication
18228,18228,ting zhang,N/A,reemployment services and eligibility assessments resea in marylandformative evaluation program year 2019,15-Apr-22,N/A,N/A,LinkedIn Publication
18229,18229,ting zhang,N/A,reemployment services and eligibility assessments resea in maryland process analysis report,9-Nov-21,N/A,N/A,LinkedIn Publication
18230,18230,ting zhang,N/A,working from home small business performance and the covid19 pandemic,25-Apr-21,N/A,N/A,LinkedIn Publication
18231,18231,ting zhang,N/A,rural disparities in hospital patient satisfaction multilevel analysis of the massachusetts aha sid and hcahps data,1-Jan-20,N/A,N/A,LinkedIn Publication
18232,18232,ting zhang,N/A,snap ui and employment interactions in maryland 20092015,31-Dec-19,N/A,N/A,LinkedIn Publication
18233,18233,ting zhang,N/A,an alternate state in mind the effect of cpa exam credithour requirements and economic competitiveness on statelevel exam candidate pools and pass rates,31-Dec-19,N/A,N/A,LinkedIn Publication
18234,18234,ting zhang,N/A,does generation matter for entrepreneur types four generations of entrepreneurs,31-Dec-19,N/A,N/A,LinkedIn Publication
18235,18235,ting zhang,N/A,different age effects by entrepreneur types an investigation on us boomer entrepreneurs,31-Dec-19,N/A,N/A,LinkedIn Publication
18236,18236,ting zhang,N/A,workforce training for older workers toward a better understanding of older worker needs after the great recession,30-Nov-19,N/A,N/A,LinkedIn Publication
18237,18237,ting zhang,N/A,age and entrepreneurship nuances from entrepreneur types and generation effects,20-Nov-19,N/A,N/A,LinkedIn Publication
18238,18238,ting zhang,N/A,heterogeneous boomer entrepreneurs,1-Jul-19,N/A,N/A,LinkedIn Publication
18239,18239,ting zhang,N/A,eight types of baby boomer entrepreneurs,30-Apr-19,N/A,N/A,LinkedIn Publication
18240,18240,ting zhang,N/A,book review who will care for us by p osterman,31-Dec-18,N/A,N/A,LinkedIn Publication
18241,18241,ting zhang,N/A,book review who will care for us by p osterman,31-Dec-18,N/A,N/A,LinkedIn Publication
18242,18242,ting zhang,N/A,racial and mental disorders impact on older patients nursing home admissions upon hospital discharge,31-Jul-18,N/A,N/A,LinkedIn Publication
18243,18243,ting zhang,N/A,probabilistic matching,28-Mar-18,N/A,N/A,LinkedIn Publication
18244,18244,ting zhang,N/A,welfare to work propensities administrative record evidence,31-Jan-18,N/A,N/A,LinkedIn Publication
18245,18245,ting zhang,N/A,data synthesis,19-Jan-18,N/A,N/A,LinkedIn Publication
18246,18246,yang shen,aec community is highly focused on designing buildings that can improve energy efficiency while maintaining adequate structural behavior termed herein as energystructure performance to enhance the study of energystructure performance a novel framework of sensitivity analysis including initial studies and global sensitivity analysis was developed based on a general and automated platform of multiphysics simulation this platform meets the requirements of objectorientation and provides compatibility with parametrical representation including geometricnongeometric parameters and detailed modeling a systematic methodology of sensitivity analysis considering sensitivity auditing and a scaled morris method is developed within the context of hybrid building energystructure performance the refined global screening sensitivity analysis scaled morris method is proposed to deal with different types of data inputs and multipleoutput sensitivity index comparison problems a building case study was part of the research which included two types of façades totaling 15 input factors more than 2000 simulations were conducted producing the yearlypeak energy performance indicators over four climate zones along with staticdynamic structural performance indicators the results from the initial studies and global sensitivity analysis provided varyingsensitivity effects of building topologylayout structuralnonstructural components and inherited features which were compared quantitatively for the curtain wall building the absolute mean sensitivity indices input factors were up to 23 for energy indicators and 30 for structural indicators the precast concrete panel wall building exhibited the absolute mean of input factors up to 28 for energy indicators and 24 for structural indicators overall the results indicate this new framework methodology and sensitivity analysis can be used for commercial hybrid building energystructure performance analysis,a novel sensitivity analysis of commercial building hybrid energystructure performance,5-Jun-21,N/A,N/A,LinkedIn Publication
18247,18247,yang shen,1 used the bridges ultimate capacity statically geometric and material nonlinearities and its loading history capacity history curves to quantify the structural redundancy under four limit states and fifteen damaged scenarios 2did the parametrical studies to validate the reliability of this new structural redundancy evaluation method,the structural redundancy evaluation of long span cablestayed bridges,2-Jul-17,N/A,N/A,LinkedIn Publication
18248,18248,nathalia peixoto,neurological disorders are often characterized by abnormal neuronal activity in the case of epilepsy this can manifest itself in the form of uncontrolled synchronous activity often in the form of bursting pattern steering is the ability to apply stimulation to a network that effectively changes its dynamical firing pattern in an epileptic network the stimulation would be used to move the seizing network from its abnormal state to a normal state this idea is explored here in cultured networks of cortical neurons plated on microelectrode arrays stimulation was applied to the bath resulting in an electric field generated throughout the network this field was verified as subthreshold in strength using a finite element model simulation stimulated networks showed a significant suppression in the number of bursts and increase in the interburst interval as compared to control networks this observed burst suppression suggests that the subthreshold stimulating field moved networks from a state of high frequency bursting to a state of low frequency bursting,dynamic steering of in vitro cortical neurons using field stimulation,9-Jan-15,N/A,N/A,LinkedIn Publication
18249,18249,nathalia peixoto,people without disabilities seamlessly control devices with their hands interestingly their hands can perform coarse and fine control implementing smooth control for computerized systems is not straightforward and most of the time it is not intuitive either here we offer a solution to that problem smooth control through humming voice commands have become ubiquitous in modern technology speechtotext applications abound smooth control on the other hand has not been tackled yet here we design and implement a humming control technique and demonstrate a hardware implementation with a powered wheelchair once actuated the speed with which the chair moves will depend on the subtle variation on the fundamental frequency of the users humming acquired through an accelerometer measuring vocal cord vibration we also discuss two signal processing techniques that handle commonly encountered issues when trying to resolve frequencies in real time data the hardware implementation shows performance of 80 and higher in speech recognition for signaltonoise ratio snr higher than 8 db and 100 in smooth control and frequency detection for all tested snrs we also discuss potential applications of smooth humming control to other assistive technology voice controlled wheelchairs fine control by humming peixoto nathalia et al computer methods and programs in biomedicine volume 112 issue 1 156 165,voice controlled wheelchairs fine control by humming,1-Oct-13,N/A,N/A,LinkedIn Publication
18250,18250,ping xu,N/A,coke communicationcensored kernel learning via random features,1-Jun-19,N/A,N/A,LinkedIn Publication
18251,18251,ping xu,N/A,an energyefficient distributed average consensus scheme via infrequent communication,1-Nov-18,N/A,N/A,LinkedIn Publication
18252,18252,ping xu,N/A,a class of eventtriggered coordination algorithms for multiagent systems on weightbalanced digraphs,1-Jun-18,N/A,N/A,LinkedIn Publication
18253,18253,ping xu,N/A,efficient channel estimation for massive mimo systems via truncated twodimensional atomic norm minimization,1-May-17,N/A,N/A,LinkedIn Publication
18254,18254,paulo costa,N/A,an automated dialog system for border control,17-Mar-14,N/A,N/A,LinkedIn Publication
18255,18255,paulo costa,to cope with citizens demand for transparency and corruption prevention the brazilian office of the comptroller general cgu has carried out a number of actions including awareness campaigns aimed at the private sector campaigns to educate the public research initiatives and regular inspections and audits of municipalities and states although cgu has collected information from hundreds of different sources revenue agency federal police and others the process of fusing all this data has not been efficient enough to meet the needs of cgus decision makers therefore it is natural to change the focus from data fusion to knowledge fusion as a consequence traditional syntactic methods should be augmented with techniques that represent and reason with the semantics of databases however commonly used approaches such as semantic web technologies fail to deal with uncertainty a dominant characteristic in corruption prevention this paper presents the use of probabilistic ontologies built with probabilistic owl prowl to design and test a model that performs information fusion to detect possible frauds in procurements involving federal money in brazil to design this model a recently developed tool for creating prowl ontologies was used with support from prowl specialists and careful guidance from a fraud detection specialist from cgu at present the task of procurement fraud detection is done manually by an auditor the number of suspicious cases that can be analyzed by a single person is small the experimental results obtained with the presented approach are preliminary but show the viability of developing a tool based on prowl ontologies to automatize this task this paper also examplifies how to use prowl 20 to provide a link between the deterministic and probabilistic parts of the ontology,probabilistic ontology and knowledge fusion for procurement fraud detection in brazil,1-Jan-13,N/A,N/A,LinkedIn Publication
18256,18256,paulo costa,highlevel information fusion hlif utilizes techniques from lowlevel information fusion llif to support situationimpact assessment user involvement and mission and resource management sum given the unbounded analysis of situations events users resources and missions it is obvious that uncertainty is manifested by the nature of application requirements in this panel we seek discussions on methods and techniques to intelligently assess the problem of hlif uncertainty analysis to alleviate highperformance statistical computational optimizations unrealizable mathematical assumptions or rigorous modeling and problem scoping which lead to time delays brittleness and rigidity respectively given the various methods of llif and the complexity of hlif an interest to the isif community is to utilize diverse methods such as those from other communities that bridge the llifhlif gap of uncertainty analysis to get a qualified and diverse viewpoint we present a summary of hlif uncertainty processes towards developing a multisource ontology of uncertainty to support hlif modeling methods and management and systems design,issues of uncertainty analysis in highlevel information fusion,12-Jul-12,N/A,N/A,LinkedIn Publication
18257,18257,paulo costa,N/A,prowl 2 case study a maritime domain probabilistic ontology,18-Nov-11,N/A,N/A,LinkedIn Publication
18258,18258,paulo costa,situational awareness and prediction are essential elements of information fusion both involve various types of uncertainty and require a sound automated inferential process probabilistic ontologies support uncertainty management in semantically aware systems and facilitate modular interoperable systems this paper describes the process of developing a probabilistic ontology for a maritime domain awareness application the ontology was created to support identification of ships behaving suspiciously enough to be declared ships of interest the original model was expanded in two ways to provide reasons for declaring a ship as being of interest and to include individual crew member associations the latter is achieved by supporting inferences about a persons close relations group associations communications and background influences to assess his likelihood of having terrorist links,modeling a probabilistic ontology for maritime domain awareness,5-Jul-11,N/A,N/A,LinkedIn Publication
18259,18259,paulo costa,N/A,notes on modeling a probabilistic ontology for maritime domain awareness,1-Jun-11,N/A,N/A,LinkedIn Publication
18260,18260,paulo costa,highlevel fusion of hard and soft information from diverse sensor types still depends heavily on human cognition this results in a scalability conundrum that current technologies are incapable of solving although there is widespread acknowledgement that an hlf framework must support automated knowledge representation and reasoning with uncertainty there is no consensus on the most appropriate technology to satisfy this requirement further the debate among proponents of the various approaches is laden with miscommunication and illsupported assumptions which inhibits advancement of hlf research as a whole a clearly defined scientifically rigorous evaluation framework is needed to help information fusion researchers assess the suitability of various approaches and tools to their applications this paper describes requirements for such a framework and describes a use case in hlf evaluation,evaluating uncertainty representation and reasoning in hlf systems,1-Jan-11,N/A,N/A,LinkedIn Publication
18261,18261,paulo costa,as java popularity surges several domain independent architectures supporting the design of knowledge intensive reasoning systems are being developed using the language eg jcolibri2 garcia 2008 protege noy et al 2000 one example is unbbayes an opensource framework that provides a graphical means of building probabilistic knowledge models for realworld applications this book chapter invites you to understand the historical background of unbbayes its architectural underpinnings and the major technical challenges behind its development further it presents suggestions on its usage as a framework and api for domain modeling and probabilistic reasoning,unbbayes a java framework for probabilistic models in ai,1-Jan-11,N/A,N/A,LinkedIn Publication
18262,18262,paulo costa,as stated in 5 a major design goal for prowl was to attain compatibility with owl however this goal has been only partially achieved as yet primarily due to several key issues not fully addressed in the original work this paper describes several important issues of compatibility between prowl and owl and suggests approaches to deal with them to illustrate the issues and how they can be addressed we use procurement fraud as an example application domain 2 first we describe the lack of mapping between prowl random variables rvs and the concepts defined in owl and then show how this mapping can be done second we describe prowls lack of compatibility with existing types already present in owl and then show how every type defined in prowl can be directly mapped to concepts already present in owl,compatibility formalization between prowl and owl,1-Jul-10,N/A,N/A,LinkedIn Publication
18263,18263,paulo costa,the change of focus in modern warfare from individual platforms to the network has caused a concomitant shift in supporting concepts and technologies greater emphasis is placed on interoperability and composeability new technologies such as soa and semantically aware systems have come into the spotlight this paper argues that just as the problem space demands interoperability of diverse technologies so must the solution space in other words not only are new approaches needed but they must also come together as a seamlessly interoperable technological tool set this can be accomplished only via a consistent multidisciplinary approach in this paper we present some of the major requirements of todays predictive situation awareness systems psaw propose our approach as a coordinated mix between stateoftheart research efforts and present the architecture for enabling our approach,high level fusion and predictive situational awareness with probabilistic ontologies,1-Jan-10,N/A,N/A,LinkedIn Publication
18264,18264,paulo costa,N/A,unbbayesmebn comments on implementing a probabilistic ontology tool,1-Jan-08,N/A,N/A,LinkedIn Publication
18265,18265,shima mohebbi,N/A,electronic supply network coordination in intelligent and dynamic environments modeling and implementation,N/A,N/A,N/A,LinkedIn Publication
18266,18266,shima mohebbi,N/A,representative papers,N/A,N/A,N/A,LinkedIn Publication
18267,18267,bengt ljungquist,most functions of the nervous system depend on neuronal and glial morphology continuous advances in microscopic imaging and tracing software have provided an increasingly abundant availability of 3d reconstructions of arborizing dendrites axons and processes allowing their detailed study however efficient largescale methods to rank neural morphologies by similarity to an archetype are still lacking using the neuromorphoorg database we present a similarity search software enabling fast morphological comparison of hundreds of thousands of neural reconstructions from any species brain regions cell types and preparation protocols we compared the performance of different morphological measurements 1 summary morphometrics calculated by lmeasure 2 persistence vectors a vectorized descriptor of branching structure 3 the combination of the two in all cases we also investigated the impact of applying dimensionality reduction using principal component analysis pca we assessed qualitative performance by gauging the ability to rank neurons in order of visual similarity moreover we quantified information content by examining explained variance and benchmarked the ability to identify occasional duplicate reconstructions of the same specimen we also compared two different methods for selecting the number of principal components using this benchmark the results indicate that combining summary morphometrics and persistence vectors with applied pca using maximum likelihood based automatic dimensionality selection provides an information rich characterization that enables efficient and precise comparison of neural morphology we have deployed the similarity search as opensource online software both through a userfriendly graphical interface and as an api for programmatic access,large scale similarity search across digital reconstructions of neural morphology,14-May-22,N/A,N/A,LinkedIn Publication
