names,ProfileLinks,topics,citations,titles,delta
Rainald Lohner,https://scholar.google.com//citations?hl=en&user=umyInxwAAAAJ,"CFD, HPC, CCD",17710,"Professor, George Mason University; Visiting Scientist, CIMNE",#N/A
Patrick Gillevet,https://scholar.google.com//citations?hl=en&user=lQmz2XMAAAAJ,"Microbial Ecology, Microbiome, Environmental Health",16192,"Professor and Director, Microbiome Analysis Center, George Mason University",#N/A
Fatah kashanchi,https://scholar.google.com//citations?hl=en&user=zbhfrl0AAAAJ,"Transcription and Chromatin, Virology, HIV, HTLV, Exosomes",14825,George Mason University,#N/A
Richard Klimoski,https://scholar.google.com//citations?hl=en&user=M7DkznEAAAAJ,,14726,"Professor of Management and Psychology, George Mason University",#N/A
Kenneth Button,https://scholar.google.com//citations?hl=en&user=G_6CBkUAAAAJ,Transportation Economics,14415,George Mason University,#N/A
Adam Winsler,https://scholar.google.com//citations?hl=en&user=_Ekthu4AAAAJ,"Early Childhood Education, Self-Regulation, Private Speech, Bilingual Language Development",14235,George Mason University,#N/A
Daniel Menasce,https://scholar.google.com//citations?hl=en&user=ONloO5IAAAAJ,"autonomic computing, software performance engineering, computer system performance evaluation, service oriented architectures, security",14061,"Professor of Computer Science, George Mason University",#N/A
Yariv Ephraim,https://scholar.google.com//citations?hl=en&user=_t8HqkYAAAAJ,,13925,George Mason University,#N/A
Germaine M. Buck Louis,https://scholar.google.com//citations?hl=en&user=dOGrrEYAAAAJ,"environment, epidemiology, public health, reproduction and development",13862,Former Dean & Professor George Mason University,#N/A
Peter Boettke,https://scholar.google.com//citations?hl=en&user=W-tVpX8AAAAJ,"History of economic thought, comparative political economy, Austrian Economics",13754,"University Professor of Economics & Philosophy, George Mason University",#N/A
Frank Krueger,https://scholar.google.com//citations?hl=en&user=6auUco0AAAAJ,Social Cognition & Interaction,13497,"Professor, School of Systems Biology, George Mason University",#N/A
Juan Cebral,https://scholar.google.com//citations?hl=en&user=Q787eMAAAAAJ,"blood flow, aneurysms, computational fluid dynamics",12930,George Mason University,#N/A
"Ancha Baranova, Анча Баранова",https://scholar.google.com//citations?hl=en&user=nzc5N8sAAAAJ,"Human Genetics, Personalized Medicine, Biomarkers, Bioinformatics, Systems Biology",12852,"Professor, School of Systems Biology, George Mason University",#N/A
Timothy Sauer,https://scholar.google.com//citations?hl=en&user=O4H_dNQAAAAJ,"Mathematics, Dynamical Systems",12812,"Professor of Mathematics, George Mason University",#N/A
lilian de Jonge,https://scholar.google.com//citations?hl=en&user=_4rRAzQAAAAJ,"energy metabolism, obesity, sleep and circadian rhythm",12755,George Mason University Department of Nutrition and Food Studies,#N/A
Robert Lipsky,https://scholar.google.com//citations?hl=en&user=uBB1MF8AAAAJ,"Neuroscience, Genetics, Epigenetics",12600,George Mason University,#N/A
David WS Wong,https://scholar.google.com//citations?hl=en&user=3h3zNK8AAAAJ,,12499,George Mason University,#N/A
Thomas Lovejoy,https://scholar.google.com//citations?hl=en&user=R7CbndQAAAAJ,Environmental Science and Policy,12468,"Professor of Environmental Science and Policy, George Mason University",#N/A
Michael A. Clemens,https://scholar.google.com//citations?hl=en&user=DdtBDnkAAAAJ,"International Migration, Economic Development, Impact Evaluation, Economic History",12466,George Mason University & Peterson Institute for International Economics,#N/A
Dieter Bilitza,https://scholar.google.com//citations?hl=en&user=xXRBlQ4AAAAJ,ionospheric physics,12361,"Professor of Physics, George Mason University",#N/A
Monson Hayes,https://scholar.google.com//citations?hl=en&user=rmCtisEAAAAJ,"Signal, Image, and Video Processing, and Machine Learning",12197,"Professor and Chair, Department of Electrical and Computer Engineering, George Mason …",#N/A
Sean Luke,https://scholar.google.com//citations?hl=en&user=jwxhFAQAAAAJ,"Robotics, Artificial Intelligence, Machine Learning, Multiagent Systems, Genetic Programming",12173,"Department of Computer Science, George Mason University",3
Russell Abratt,https://scholar.google.com//citations?hl=en&user=NM6y8GMAAAAJ,"Brands, Brand Management, Corporate Identity, Marketing",12104,"Professor of Marketing, George Mason University",#N/A
Daniel Barbara,https://scholar.google.com//citations?hl=en&user=wtZwMSgAAAAJ,"Data Mining, Machine Learning",11994,"Professor of Computer Science, George Mason University",#N/A
Patrick McKnight,https://scholar.google.com//citations?hl=en&user=sH44LC4AAAAJ,"Trust, Missing Data, Program Evaluation, Measurement",11979,"Professor of Psychology, George Mason University",#N/A
Jana Kosecka,https://scholar.google.com//citations?hl=en&user=sQ6l4sMAAAAJ,"Computer Vision, Robotics, Artificial Intelligence",11861,George Mason University,2
Peter D. Blair,https://scholar.google.com//citations?hl=en&user=5R1M2N8AAAAJ,"energy, input-output analysis, technology assessment, regional science, electric power",11830,"Distinguished Senior Fellow, George Mason University",#N/A
Giorgio A. Ascoli,https://scholar.google.com//citations?hl=en&user=Qq5H3-QAAAAJ,"Neuroscience: computational neuroanatomy, neuroinformatics, neuronal morphology, network connectivity, cognitive simulations",11589,"University Professor, Krasnow Institute for Advanced Study, George Mason University",#N/A
"Kenneth W. Griffin, PhD, MPH",https://scholar.google.com//citations?hl=en&user=8uzvyVEAAAAJ,"adolescence, drug abuse, violence, prevention, etiology",11562,"Professor, Public Health, George Mason University",#N/A
Kevin Wright,https://scholar.google.com//citations?hl=en&user=TeR8x_cAAAAJ,"Health Communication, Computer-Mediated Communication, Interpersonal Communication, Social Support",11541,George Mason University,#N/A
John Riskind,https://scholar.google.com//citations?hl=en&user=2EDdxucAAAAJ,"anxiety, cognitive behavior therapy, emotion",11400,"Professor of Psychology, George Mason University",#N/A
Jessica Lin,https://scholar.google.com//citations?hl=en&user=tRHOWkcAAAAJ,"Data Mining, Machine Learning, Information Retrieval, Databases",10794,George Mason University,#N/A
Reeshad S. Dalal,https://scholar.google.com//citations?hl=en&user=QkDLr-MAAAAJ,"Counterproductive Behavior, Citizenship Behavior, Decision Making, Person-Situation Interactions, Within-Person Variability",10711,"Professor of Industrial and Organizational Psychology, George Mason University",#N/A
Faye Taxman,https://scholar.google.com//citations?hl=en&user=0GrgbR4AAAAJ,,10550,George Mason University,#N/A
Paul Ammann,https://scholar.google.com//citations?hl=en&user=-j0V55IAAAAJ,Software Engineering,10483,"Associate Professor of Computer Science, George Mason University",#N/A
Claudius Mueller,https://scholar.google.com//citations?hl=en&user=IGibEgUAAAAJ,"cell-cell communication, biochemistry, cancer",10263,George Mason University,#N/A
"Kinter, James",https://scholar.google.com//citations?hl=en&user=RYsZOAkAAAAJ,"geoscience, meteorology, atmospheric science",10212,"COLA, George Mason University",#N/A
Chao Luo,https://scholar.google.com//citations?hl=en&user=u6EgRE0AAAAJ,"Electrochemistry, Rechargeable batteries, Atomic layer deposition, Plasma-enhanced chemical vapor deposition, Organic materials",9999,"Assistant Professor, George Mason University",#N/A
Jeffrey Stuewig,https://scholar.google.com//citations?hl=en&user=3-AdJBMAAAAJ,"shame, guilt, crime, delinquency, evaluation",9928,George Mason University,#N/A
Daniel Houser,https://scholar.google.com//citations?hl=en&user=Dy_XT9UAAAAJ,"Behavioral Economics, Behavioral Finance, Computational Social Science, Political Economy",9879,"Professor of Economics, George Mason University",#N/A
Connie Roser-Renouf,https://scholar.google.com//citations?hl=en&user=kz3WmlkAAAAJ,,9551,"Associate Research Professor, Center for Climate Change Communication, George Mason …",#N/A
Nada Dabbagh,https://scholar.google.com//citations?hl=en&user=pW9xOuUAAAAJ,"pedagogical ecology, PLEs, self-regulated learning, learning systems design",9434,"Professor of Learning Technologies, George Mason University",#N/A
Mark Sagoff,https://scholar.google.com//citations?hl=en&user=2AWZW_YAAAAJ,,9380,"Institute for Philosophy and Public Policy, George Mason University",#N/A
David J. Armor,https://scholar.google.com//citations?hl=en&user=IgtXnZEAAAAJ,"education, military manpower, social policy",9338,"Professor of Public Policy, George Mason University",#N/A
Carolyn Drews-Botsch,https://scholar.google.com//citations?hl=en&user=f99Fo_4AAAAJ,Epidemiology,9163,"Professor and Chair, Global and Community Health, George Mason University",#N/A
Kathryn B. Laskey,https://scholar.google.com//citations?hl=en&user=sgva3HcAAAAJ,"Artificial Intelligence, Probabilistic Inference, Decision Theory, Decision Support, Information Fusion",9145,"Professor of Systems Engineering and Operations Research, George Mason University",#N/A
Allison Redlich,https://scholar.google.com//citations?hl=en&user=uoeStiEAAAAJ,"Interrogations and confessions, guilty pleas, mental health courts",9118,"Professor of Criminology, Law and Society, George Mason University",#N/A
Liping Di,https://scholar.google.com//citations?hl=en&user=7U_hx20AAAAJ,"geoinformation science, agro-geoinformatics, remote sensing, global change, AI/machine learning",8997,"Professor of Geographic Information Science, George Mason University",#N/A
RR Meier,https://scholar.google.com//citations?hl=en&user=x7FSPw0AAAAJ,space science,8942,George Mason University,#N/A
Martin E Ford,https://scholar.google.com//citations?hl=en&user=QoUYK-YAAAAJ,"motivation, competence, social intelligence, practical intelligence, social responsibility",8928,"Professor of Education, George Mason University",#N/A
Linda Hinnov,https://scholar.google.com//citations?hl=en&user=fQdXHj4AAAAJ,"Earth science, geology, signal analysis, stratigraphy, paleoclimatology",8747,"Professor, George Mason University",#N/A
Caroline D Hoemann,https://scholar.google.com//citations?hl=en&user=Iug7w3IAAAAJ,"Tissue Engineering, articular cartilage, bone, biomaterials, blood coagulation",8654,"Professor of Bioengineering, George Mason University, VA, USA",#N/A
Maurice Kugler,https://scholar.google.com//citations?hl=en&user=mhL5AQoAAAAJ,"Firm dynamics, International trade and investment, Economic dynamics, Productivity growth, Misallocation",8620,Professor of Public Policy at George Mason University,#N/A
Jim X. Chen,https://scholar.google.com//citations?hl=en&user=929ovoAAAAAJ,"Graphics, Visualization, Virtual Reality, Medical Imaging",8537,"Professor of Computer Science, George Mason University",#N/A
Gregory Unruh,https://scholar.google.com//citations?hl=en&user=s3pViocAAAAJ,"Sustainability, Corporate Responsibility, Leadership, Digital Transformation, Wellbeing",8473,"Arison Endowed Professor of Values Leadership, George Mason University",#N/A
Hassan Gomaa,https://scholar.google.com//citations?hl=en&user=YjPRWAEAAAAJ,"software engineering, software architecture, model based software design, software product lines ...",8255,George Mason University,#N/A
Lawrence H. White,https://scholar.google.com//citations?hl=en&user=nHY4-ygAAAAJ,"Money, Banking, History of Economics",8193,"Professor of Economics, George Mason University",#N/A
Sarah Fischer,https://scholar.google.com//citations?hl=en&user=ZRXfaDAAAAAJ,"impulsivity, bulimia, eating disorders, alcohol, expectancies",8126,"Associate Professor of Psychology, George Mason University",#N/A
Joel Schnur,https://scholar.google.com//citations?hl=en&user=g3mGz-QAAAAJ,"Self Assembly, Systems Biology, chiral based assembly",8001,"Research Professor Bio/Molecular Science, College of Science, George Mason University",#N/A
BC Green,https://scholar.google.com//citations?hl=en&user=atYWl9QAAAAJ,,7945,"Professor of Sport Management, George Mason University",#N/A
Elise Miller-Hooks,https://scholar.google.com//citations?hl=en&user=NhAyygEAAAAJ,,7942,George Mason University,#N/A
Thomas Stratmann,https://scholar.google.com//citations?hl=en&user=NFaG1nYAAAAJ,"Applied Microeconomics, Political Economy, Law and Economics, Health Economics, Financial Markets",7937,George Mason University,#N/A
Dale Rothman,https://scholar.google.com//citations?hl=en&user=fqIPnNoAAAAJ,"Scenario development, Systems modeling, Environment",7873,George Mason University,#N/A
Andrew A Guccione,https://scholar.google.com//citations?hl=en&user=Zw8pGTUAAAAJ,,7835,George Mason University,#N/A
Peter Plavchan,https://scholar.google.com//citations?hl=en&user=SUtHeX8AAAAJ,"Astronomy, Exoplanets",7753,"Associate Professor of Astronomy, George Mason University",#N/A
Johannes Rojahn,https://scholar.google.com//citations?hl=en&user=SxPZDxoAAAAJ,"Intellectual and developmental disabilities, autism, maldaptive behavior self-injurious behavior, aggression, mental illness",7717,"Professor Emeritus of Psychology, George Mason University",#N/A
Tim Groseclose,https://scholar.google.com//citations?hl=en&user=zhLbDtcAAAAJ,"media bias, political economy, sports economics",7688,"Professor of Economics, George Mason University",#N/A
Chris Kennedy,https://scholar.google.com//citations?hl=en&user=wSUq_LcAAAAJ,"Economics, marine and coastal science, energy policy",7634,"Environmental Science and Policy, George Mason University",#N/A
Marcos Zampieri,https://scholar.google.com//citations?hl=en&user=vAx7VsoAAAAJ,"Computational Linguistics, Natural Language Processing",7575,George Mason University,#N/A
Ozlem Uzuner,https://scholar.google.com//citations?hl=en&user=jAZ90RIAAAAJ,"Artificial intelligence, natural language processing, medical informatics",7523,George Mason University,#N/A
Jie Zhang,https://scholar.google.com//citations?hl=en&user=aeFDIT0AAAAJ,"Sun, Solar Physics, CMEs, flares",7445,George Mason University,#N/A
Richard J. Cebula,https://scholar.google.com//citations?hl=en&user=v8c0yCEAAAAJ,Economics,7324,George Mason University,#N/A
M. Cummings,https://scholar.google.com//citations?hl=en&user=TqARAGcAAAAJ,"human autonomy interaction, human robot interaction, certification of AI, human factors, human systems engineering",7276,"Professor, George Mason University",#N/A
Carlos Zambrana-Torrelio,https://scholar.google.com//citations?hl=en&user=0w22J5cAAAAJ,"Biodiversity, Ecology, Disease Ecology, Macroecology",7271,George Mason University,#N/A
Stefan Toepler,https://scholar.google.com//citations?hl=en&user=5i11sq8AAAAJ,"philanthropy, nonprofit management, NGOs, civil society, cultural policy",7245,"Schar School, George Mason University",#N/A
Cynthia Lum,https://scholar.google.com//citations?hl=en&user=s6FqBXcAAAAJ,"Policing, evidence-based policing, evidence-based crime policy, translational criminology, evaluation research and methods",7195,"University Professor, George Mason University, Criminology, Law and Society",#N/A
Sanjeev Setia,https://scholar.google.com//citations?hl=en&user=UlbFDqoAAAAJ,"Computer Systems, Wireless Networks, Network Security",7184,"Department of Computer Science, George Mason University",#N/A
Kingsley E Haynes,https://scholar.google.com//citations?hl=en&user=Aclx17IAAAAJ,"Regional Economics, Transportation, Gravity Model, Infrastructure Development, Public Policy",7142,George Mason University,#N/A
Nuno Garoupa,https://scholar.google.com//citations?hl=en&user=NNGBtpsAAAAJ,"Law and Economics, Comparative Law",7099,"George Mason University, Antonin Scalia Law School",#N/A
John S. Earle,https://scholar.google.com//citations?hl=en&user=JNT_RWkAAAAJ,"labor economics, entrepreneurship, firm dynamics, productivity, transition",7092,"Schar School of Policy and Government, George Mason University, and IZA - Institute for …",#N/A
Christopher Coyne,https://scholar.google.com//citations?hl=en&user=B3DGWkwAAAAJ,"Austrian Economics, Contitutional Political Economy, Development Economic, Public Choice",7000,George Mason University,#N/A
Carl Botan,https://scholar.google.com//citations?hl=en&user=OFv1J3MAAAAJ,"Strategic Communication, Public Relations, Preparedness Communication",6960,"Professor of Communication, Emeritus, George Mason University",#N/A
Taylor C. Wallace,https://scholar.google.com//citations?hl=en&user=hARIHg0AAAAJ,"Nutrition, Food Science",6944,Think Healthy Group | George Mason University,#N/A
Jonathan P Beauchamp,https://scholar.google.com//citations?hl=en&user=datbpk4AAAAJ,"Genoeconomics, Applied Microeconomics, Behavioral Economics",6930,George Mason University,#N/A
Carl Pasurka,https://scholar.google.com//citations?hl=en&user=tL3LK24AAAAJ,,6862,"Schar School of Policy and Government, George Mason University",#N/A
Carlotta Domeniconi,https://scholar.google.com//citations?hl=en&user=aKkIMogAAAAJ,"machine learning, data mining, clustering, classification, ensemble methods",6856,"Associate Professor of Computer Science, George Mason University",#N/A
James Lawrey,https://scholar.google.com//citations?hl=en&user=JytHx-YAAAAJ,Mycology,6848,"Professor of Biology, George Mason University",#N/A
Songqing Chen,https://scholar.google.com//citations?hl=en&user=T7IRM8EAAAAJ,"distributed system, networking, security",6829,George Mason University,#N/A
Charles L. Bailey,https://scholar.google.com//citations?hl=en&user=U35Y3ZUAAAAJ,,6805,"School of Systems Biology, George Mason University",#N/A
Bryan Caplan,https://scholar.google.com//citations?hl=en&user=EeYe2EAAAAAJ,"Political economy, Psychology and Economics, Public Opinion, Economics of the Family, Economics of Education",6783,"Professor of Economics, George Mason University",#N/A
Linda H Mason,https://scholar.google.com//citations?hl=en&user=fbwHSNEAAAAJ,,6723,George Mason University,#N/A
Chaowei Phil Yang,https://scholar.google.com//citations?hl=en&user=MS63kuwAAAAJ,"GIScience, spatiotemporal computing, GeoAI, spatial cloud computing, big spatiotemporal data",6708,"Professor of GIScience, George Mason University",#N/A
Dieter Pfoser,https://scholar.google.com//citations?hl=en&user=6pDpqQwAAAAJ,"spatiotemporal databases, geospatial data, geoinformatics, user-generated content",6700,George Mason University,#N/A
Dmitri Klimov,https://scholar.google.com//citations?hl=en&user=PEep5v8AAAAJ,Biomolecular sinulations,6687,"Professor, George Mason University",#N/A
Konrad Wessels,https://scholar.google.com//citations?hl=en&user=VzAabuEAAAAJ,"Environmental Remote Sensing, Natural Resource Management, Land Cover Change",6599,"George Mason University, Geography and GeoInformation Science",#N/A
Christianne Esposito-Smythers,https://scholar.google.com//citations?hl=en&user=BqNFZ9QAAAAJ,"adolescent suicide, adolescent substance abuse, adolescent high risk behavior",6500,"Professor, George Mason University",#N/A
Donald Seto,https://scholar.google.com//citations?hl=en&user=9UKgfQwAAAAJ,"adenovirus, genomics and bioinformatics, molecular evolution, zoonosis",6430,"Professor, George Mason University",#N/A
"Claudio Cioffi-Revilla, Ph.D., D.Pol.Sc.",https://scholar.google.com//citations?hl=en&user=OsPUZ7oAAAAJ,"Applied Mathematics, Complexity Science, Agent-based models, Disasters, Conflict",6328,"Fellow AAAS and NAS; University Professor Emeritus, George Mason University",#N/A
James Gentle,https://scholar.google.com//citations?hl=en&user=PoY_tDIAAAAJ,"computational statistics, statistical learning, machine learning, computational finance",6283,"Professor of Computational Statistics, George Mason University",#N/A
Bo Han,https://scholar.google.com//citations?hl=en&user=BhRa314AAAAJ,"Networked Systems, Mobile Computing, Wireless Networking",6267,George Mason University,#N/A
Michael S. Bloom,https://scholar.google.com//citations?hl=en&user=1dm810wAAAAJ,"Environmental Epidemiology, Reproduction, fetal development, Endocrine Disruption",6261,George Mason University,#N/A
Denise Hines,https://scholar.google.com//citations?hl=en&user=rDfIlQUAAAAJ,interpersonal aggression,6246,George Mason University,#N/A
Duminda Wijesekera,https://scholar.google.com//citations?hl=en&user=mL6lVzIAAAAJ,"Policies, security, railroads",6191,George mason University,#N/A
Kris Gaj,https://scholar.google.com//citations?hl=en&user=Dy9vmegAAAAJ,"Cryptography, Digital System Design, Computer Engineering",6157,George Mason University,#N/A
Kuochu Chang,https://scholar.google.com//citations?hl=en&user=5DmlicUAAAAJ,data fusion,6038,"Professor, George mason university",#N/A
Anthony B. Sanders,https://scholar.google.com//citations?hl=en&user=9pzp818AAAAJ,"Securities Markets, Interest Rates",5996,"Distinguished Professor of Finance, George Mason University",#N/A
Brenda Bannan,https://scholar.google.com//citations?hl=en&user=PoIBXgEAAAAJ,"Internet of Things, Mobile behavioral analytics, Educational Design Research, learning analytics, simulations",5950,George Mason University,#N/A
James N. Cooper,https://scholar.google.com//citations?hl=en&user=7U9L2CAAAAAJ,"Medicine, Molecular Medicine, Gastroenterology, Hepatology",5949,George Mason University/ Inova Fairfax Medical Center,#N/A
Paul Schopf,https://scholar.google.com//citations?hl=en&user=HmJx7LEAAAAJ,"Climate, Oceanography, El Nino",5928,"Professor of Oceanography, George Mason University",#N/A
Seth Kaplan,https://scholar.google.com//citations?hl=en&user=Qlhi2hEAAAAJ,,5915,George Mason University,#N/A
Timothy W. Curby,https://scholar.google.com//citations?hl=en&user=LBxYkRUAAAAJ,"Developmental Psychology, Educational Psychology, Emotion-Focused Teaching, Quantitative Methods",5855,"Professor of Applied Developmental Psychology, George Mason University",#N/A
Fred Bemak,https://scholar.google.com//citations?hl=en&user=5rQOF_YAAAAJ,,5842,"Professor, George Mason University",#N/A
Joshua D. Wright,https://scholar.google.com//citations?hl=en&user=MCgx4CUAAAAJ,"antitrust, economics, law and economics, regulation, consumer protection",5828,Scalia Law School at George Mason University,#N/A
Pamela M. Greenwood,https://scholar.google.com//citations?hl=en&user=bnb4FIkAAAAJ,"cognitive aging, genetics of cognitive aging, cognitive training",5826,"Associate Professor of Psychology, George Mason University",#N/A
Kathleen Hunt,https://scholar.google.com//citations?hl=en&user=Jc6DmVIAAAAJ,"Physiology, Endocrinology, Marine Mammalogy, Sea Turtles, Conservation Biology",5810,Smithsonian-Mason School of Conservation / GMU,#N/A
Hakan Aydin,https://scholar.google.com//citations?hl=en&user=MTMmNecAAAAJ,"Sustainable Computing, Real-Time Embedded Systems, Fault Tolerance, Internet-of-Things, Cyber-Physical Systems",5795,"Professor, Department of Computer Science, George Mason University",#N/A
mohamed aziz,https://scholar.google.com//citations?hl=en&user=CuV6BrsAAAAJ,Education psychology,5782,GMU,#N/A
Robin Hanson,https://scholar.google.com//citations?hl=en&user=PjIP_WcAAAAJ,,5567,"Associate Professor of Economics, George Mason University",#N/A
Rita Chung,https://scholar.google.com//citations?hl=en&user=5TYi10oAAAAJ,,5506,George Mason University,#N/A
Bohua Huang,https://scholar.google.com//citations?hl=en&user=8d0HhLgAAAAJ,"Atmospheric Science, Physical Oceanography, Climate",5430,"Professor, George Mason University",#N/A
Daniel Klein,https://scholar.google.com//citations?hl=en&user=ruWqA6sAAAAJ,"political economy, moral philosophy",5421,"Professor of Economics, George Mason University",#N/A
Bijan Jabbari,https://scholar.google.com//citations?hl=en&user=JNnAAS4AAAAJ,"Wireless Communications & Networks, Resource Allocation, Modeling and Performance Evaluation",5420,George Mason University,#N/A
James Witte,https://scholar.google.com//citations?hl=en&user=BBAzNVMAAAAJ,sociology,5396,George Mason University,#N/A
Tolga Soyata,https://scholar.google.com//citations?hl=en&user=QnRaxS0AAAAJ,"Cyber Physical Systems, Autonomous Systems, Digital Health (D-health), GPU Computing, VLSI",5339,George Mason University,#N/A
Hideko Hamada Bassett,https://scholar.google.com//citations?hl=en&user=Joc1udEAAAAJ,Social and Emotional Development,5304,George Mason University,#N/A
Pei Dong,https://scholar.google.com//citations?hl=en&user=Bz4c55IAAAAJ,"Materials Science, Energy, Water treatment",5275,George Mason University,27
